# 4 - Aquae Sulis

# County Title
title = c_aquae_sulis

# Settlements
max_settlements = 3
b_aquae_sulis = castle
b_aquae_sulistown = city
b_aquae_sulistemple = temple

# Misc
culture = romanobritish
religion = catholic
terrain = fosse_way

# History
410.1.1 = { 
	b_aquae_sulis = ca_wall_1			# Wooden Palisade
	b_aquae_sulis = ca_wall_2			# Fortified Wooden Wall
	b_aquae_sulis = ca_wall_3			# Low Stone Wall
	b_aquae_sulis = ca_wall_q_1			# Earthen Ramparts
	b_aquae_sulis = ca_wall_q_2			# Motte and Bailey
	b_aquae_sulis = ca_wall_q_3			# Portcullis
	b_aquae_sulis = ca_keep_1 			# Wooden Hall
	b_aquae_sulis = ca_keep_2 			# Wooden Keep
	b_aquae_sulis = ca_justice_1			# Court Hall
	b_aquae_sulis = ca_justice_2			# Justice Court
	b_aquae_sulis = ca_training_grounds_1 		# Training Grounds
	b_aquae_sulis = ca_barracks_1			# Guard Quarters
	b_aquae_sulis = ca_town_1			# Small Village
	b_aquae_sulis = ca_town_2			# Village
	b_aquae_sulis = ca_town_3			# Small Town
	b_aquae_sulis = ca_town_4			# Town
	b_aquae_sulis = ca_sulis_baths			# Baths of Sulis
	b_aquae_sulistown = ct_wall_1			# Town Palisade
	b_aquae_sulistown = ct_wall_2			# Fortified Wooden Wall
	b_aquae_sulistown = ct_wall_q_1			# Earthen Ramparts
	b_aquae_sulistown = ct_guard_1			# Garrison Quarters
	b_aquae_sulistown = ct_marketplace_1		# Local Market
	b_aquae_sulistown = ct_marketplace_2		# Provincial Market
	b_aquae_sulistown = ct_marketplace_3		# Trade Fair
	b_aquae_sulistown = ct_port_1			# Small Harbour
	b_aquae_sulistown = ct_port_2			# Harbour
}
