# 82 - Lutetia

# County Title
title = c_lutetia

# Settlements
max_settlements = 4
b_lutetiacastle = castle
b_lutetiatown = city
b_lutetiatemple = temple
# b_nemetodurum = city


# Misc
culture = romanogallic
religion = catholic
terrain = plains

# History
410.1.1 = { 
	b_lutetiacastle = ca_wall_1			# Wooden Palisade
	b_lutetiacastle = ca_wall_2			# Fortified Wooden Wall
	b_lutetiacastle = ca_wall_q_1			# Earthen Ramparts
	b_lutetiacastle = ca_wall_q_2			# Motte and Bailey
	b_lutetiacastle = ca_keep_1 			# Wooden Hall
	b_lutetiacastle = ca_keep_2 			# Wooden Keep
	b_lutetiacastle = ca_keep_3 			# Stone Manor
	b_lutetiacastle = ca_training_grounds_1 	# Training Grounds
	b_lutetiacastle = ca_stable_1			# Small Stable
	b_lutetiacastle = ca_barracks_1			# Guard Quarters
	b_lutetiacastle = ca_barracks_2			# Small Barracks
	b_lutetiatown = ct_wall_1			# Town Palisade
	b_lutetiatown = ct_wall_2			# Fortified Wooden Wall
	b_lutetiatown = ct_wall_3			# Low Stone Wall
	b_lutetiatown = ct_wall_4			# Medium Stone Wall
	b_lutetiatown = ct_wall_q_1			# Earthen Ramparts
	b_lutetiatown = ct_wall_q_2			# Gatehouse
	b_lutetiatown = ct_wall_q_3			# Portcullis
	b_lutetiatown = ct_guard_1			# Garrison Quarters
	b_lutetiatown = ct_guard_2			# Guard Quarters
	b_lutetiatown = ct_guard_3			# Small Town Barracks
	b_lutetiatown = ct_marketplace_1		# Local Market
	b_lutetiatown = ct_marketplace_2		# Provincial Market
	b_lutetiatown = ct_marketplace_3		# Trade Fair
	b_lutetiatown = ct_training_grounds_1		# Local Training Grounds
	b_lutetiatown = ct_training_grounds_2		# Small Training Grounds
	b_lutetiatown = ct_farms_1			# Mill
	b_lutetiatemple = tp_university_1			# Local School
}
