#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
has_liege_vassal_or_neighbor_of_britannic_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §YBritannic§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yvoisin§! qui suit la religion §Ybritannique§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §YBritannisch§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Ybritannica§! \n;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
britannic_pagan;Brittanic;;;;;;;;;;;;;x
britannic_pagan_DESC;The Brittanic religion is a monotheistic offshoot of Druidic belief focused on the goddess Britannia, the personification of the British Isles. She is viewed as a mother goddess and is worshipped to the exclusion of all other gods from Celtic tradition. The priesthood is entirely composed of women known as Dryads, with the Arch-Dryad as the supreme spiritual authority. Brittanics also venerate a host of saints and Sanctaidd, divine servants of the Holy Mother that are much like angels in Abrahamic tradition. Most of the Sanctaidd are considered gods amongst the Druids.;;;;;;;;;;;;;x
GOD_BRITANNIA;Britannia;;;;;;;;;;;;;x
GOD_HOLY_MOTHER;The Holy Mother;;;;;;;;;;;;;x
GOD_SC_ANDRASTE;Sanctaidd Andraste;;;;;;;;;;;;;x
#Rhiannon is the Moon;;;;;;;;;;;;;;x
GOD_SC_RHIANNON;Sanctaidd Rhiannon;;;;;;;;;;;;;x
#Olwen is the Sun;;;;;;;;;;;;;;x
GOD_SC_OLWEN;Sanctaidd Olwen;;;;;;;;;;;;;x
GOD_ST_BOUDICCA;Saint Boudicca;;;;;;;;;;;;;x
GOD_ST_BRIGID;Saint Brigid;;;;;;;;;;;;;x
EVIL_UNSEELIE;the Wayward Children;;;;;;;;;;;;;x
THE_CYCLES;The Cycles;;;;;;;;;;;;;x
ARCHDRYAD;Arch-Dryad;;;;;;;;;;;;;x
DRYAD;Dryad;;;;;;;;;;;;;x
dryad_lowercase;dryad;;;;;;;;;;;;;x
# titles ;;;;;;;;;;;;;;x
k_britannic_pagan;Church of Britannia;;;;;;;;;;;;;x
k_britannic_pagan_adj;Britannic;;;;;;;;;;;;;x
k_britannic_pagan_foa;Your Holiness;;;;;;;;;;;;;x
d_saint_boudicca;Knights of Saint Boudicca;;;;;;;;;;;;;x
d_saint_boudicca_adj;Boudiccid;;;;;;;;;;;;;x
# minor titles ;;;;;;;;;;;;;;x
title_dryad_circle_member;Dryad of the Circle;;;;;;;;;;;;;x
title_dryad_circle_member_desc;The Circle of Dryads is the highest governing body in the Church of Britannia. It's sole duty is to elect the next Arch-Dryad.;;;;;;;;;;;;;x
expected_next_title_dryad_circle_member;Expected Next Member;;;;;;;;;;;;;x
expected_next_title_dryad_circle_member_tooltip;This Dryad is probably the next in line for a seat at the Circle.;;;;;;;;;;;;;x
best_candidate_title_dryad_circle_member;My Best Candidate;;;;;;;;;;;;;x
best_candidate_title_dryad_circle_member_tooltip;Of all the Dryads in my realm, this one is the most likely to be appointed a seat at the Circle by the Arch-Dryad.;;;;;;;;;;;;;x
job_spiritual_britannic_pagan;Seer;;;;;;;;;;;;;x
city_job_spiritual_britannic_pagan;Seer;;;;;;;;;;;;;x
tribal_job_spiritual_britannic_pagan;Seer;;;;;;;;;;;;;x
nomad_job_spiritual_britannic_pagan;Seer;;;;;;;;;;;;;x
# regular titles ;;;;;;;;;;;;;;x
temple_baron_britannic_pagan;Dryad;;;;;;;;;;;;;x
temple_barony_britannic_pagan;Sacred Grove;Bosquet sacré;;;;;;;;;;;;x
temple_barony_of_britannic_pagan;Sacred Grove of;Bosquet sacré de;;;;;;;;;;;;x
temple_count_britannic_pagan;Dryad;;;;;;;;;;;;;x
temple_county_britannic_pagan;Temple;Temple;;;;;;;;;;;;x
temple_county_of_britannic_pagan;Temple of;Temple de;;;;;;;;;;;;x
temple_duke_britannic_pagan;Dryad Superior;Dryada Supérieur;;;;;;;;;;;;x
temple_duchy_britannic_pagan;Tribe;Tribu;;;;;;;;;;;;x
temple_duchy_of_britannic_pagan;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
temple_king_britannic_pagan;High Mother;;;;;;;;;;;;;x
temple_kingdom_britannic_pagan;Federation;Fédération;;;;;;;;;;;;x
