#CODE;ENGLISH;;;;;;;;;;;;;x
ancrel.ai_revival_rule;§BAncient Religions:§! AI Revival;;;;;;;;;;;;;x
ancrel.ai_revival_rule.on;On;;;;;;;;;;;;;x
ancrel.ai_revival_rule.on.desc;AI characters will be allowed to receive Ancient Religions Revival events.;;;;;;;;;;;;;x
ancrel.ai_revival_rule.reduced;Reduced;;;;;;;;;;;;;x
ancrel.ai_revival_rule.reduced.desc;AI characters will be allowed to receive Ancient Religions Revival events, but the frequency is 1/10 of normal.;;;;;;;;;;;;;x
ancrel.ai_revival_rule.off;Off;;;;;;;;;;;;;x
ancrel.ai_revival_rule.off.desc;Only players will be eligible for Ancient Religions Revival events.;;;;;;;;;;;;;x
ancrel.unfit_king_beta;§BAncient Religions:§! Unfit King Mechanic - §RBeta§!;;;;;;;;;;;;;x
ancrel.unfit_king_rule.on;Enabled;;;;;;;;;;;;;x
ancrel.unfit_king_rule.on.desc;The Unfit Gaelic King mechanic will be enabled. §RWARNING:§! This feature is in beta. Use at your own discretion.;;;;;;;;;;;;;x
ancrel.unfit_king_rule.off;Disabled;;;;;;;;;;;;;x
ancrel.unfit_king_rule.off.desc;The Unfit Gaelic King mechanic will be disabled.;;;;;;;;;;;;;x
