#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_acr_champion;Champion;Champion;Champion;;Campeón;;;;;;;;;x
title_acr_champion_desc;The person that this title is bestowed upon is considered to be the Champion of the Realm. There is surely no greater honor for mortal men to aspire to.;La personne à qui ce titre est décerné est considérée comme le champion du royaume. Aucun mortel ne saurait espérer titre plus honorable.;Die Person, die diesen Titel erhalten hat, wird als Champion des Reiches angesehen. Es gibt wahrlich keine größere Ehre für Sterbliche.;;La persona a la que se le otorga este título es considerada como el Campeón del Reino. No se puede aspirar a un honor mayor para los hombres mortales.;;;;;;;;;x
title_master_arms;Master of Arms;;;;;;;;;;;;;x
title_master_arms_desc;The Master of Arms is responsible for maintaining the production and storage of weapons and armor in the realm. An important and prestigious post.;;;;;;;;;;;;;x
title_keeper_flock;Fylakasminos;;;;;;;;;;;;;x
title_keeper_flock_desc;The "keeper of the flock" is responsible for the realm's herds of sacrificial animals. They manage the shepherds and priests who ensure the animals are raised according to the sacrificial requirements, as dictated by the gods. ;;;;;;;;;;;;;x
title_hellanodikos;Hellanodikos;;;;;;;;;;;;;x
title_hellanodikos_desc;The "judges of hellenes" are responsible for maintaining the integrity of athletic competitions. The hellanodikai collectively arrange the various games and events for grand competitions such as the Olympics, and more local tournaments. They are also responsible for judging the outcomes of the games, and are held to an impeccable standard of honesty and justice.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
# HEAD_PRIEST_finnish_pagan_reformed;Päänpappi;Päänpappi;Päänpappi;;Päänpappi;;;;;;;;;x
# HEAD_PRIESTESS_finnish_pagan_reformed;Päänpappitar;Päänpappitar;Päänpappitar;;Päänpappitar;;;;;;;;;x
# HEAD_PRIEST_baltic_pagan_reformed;Kriwe;Kriwe;Kriwe;;Kriwe;;;;;;;;;x
# HEAD_PRIESTESS_baltic_pagan_reformed;Kriwe Ponia;Kriwe Ponia;Kriwe Ponia;;Kriwe Ponia;;;;;;;;;x
# HEAD_PRIEST_slavic_pagan_reformed;Hlava Knez;Hlava Knez;Hlava Knez;;Hlava Knez;;;;;;;;;x
# HEAD_PRIESTESS_slavic_pagan_reformed;Hlava Knazka;Hlava Knazka;Hlava Knazka;;Hlava Knazka;;;;;;;;;x
# HEAD_PRIEST_african_pagan_reformed;Kungo Hogon;Kungo Hogon;Kungo Hogon;;Kungo Hogon;;;;;;;;;x
# HEAD_PRIESTESS_african_pagan_reformed;Musoo Hogon;Musoo Hogon;Musoo Hogon;;Musoo Hogon;;;;;;;;;x
# HEAD_PRIEST_aztec_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
# HEAD_PRIESTESS_aztec_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
###### Other stuff ;;;;;;;;;;;;;;x
TITAN;Titanic;;;;;;;;;;;;;x
EXP_RELIGION;Expansionist Religion;;;;;;;;;;;;;x
EXP_RELIGION_HOME_TERRITORY;Expansionist Religion Home Territory;;;;;;;;;;;;;x
DEATH_LOST_DESERT;became lost in the desert, and never returned;;;;;;;;;;;;;x
###### Misc keys for events;;;;;;;;;;;;;;x
ancrel.damn;Damn!;;;;;;;;;;;;;;x
ancrel.horrible;This is horrible!;;;;;;;;;;;;;;x
ancrel.troublesome;Troublesome indeed...;;;;;;;;;;;;;;x
ancrel.that_bastard;Bastard...;;;;;;;;;;;;;x
ancrel.bummer;That's dissapointing...;;;;;;;;;;;;;x
ancrel.fantastic;That's fantastic!;;;;;;;;;;;;;x
province_loses_prosperity_custom_tooltip;[Root.GetName] loses some of it's prosperity!;;;;;;;;;;;;;x
province_prospers_custom_tooltip;[Root.GetName] becomes more prosperous!;;;;;;;;;;;;;x
###### Misc pagan events;;;;;;;;;;;;;;x
###### Misc opinion modifiers;;;;;;;;;;;;;x
ancrel_honored_me;Honored Me;;;;;;;;;;;;;x
ancrel_dissapointed;Dissapointed;;;;;;;;;;;;;x
ancrel_jealous;Jealous;;;;;;;;;;;;;x
ancrel_pleased;Pleased;;;;;;;;;;;;;x
# paganify_the_world;Lets. Get. PAGAN!;;;;;;;;;;;;;x
# paganify_the_world_desc;Convert all characters to a not Christian and not Muslim religion, based on culture. Does not affect religious heads, so the Caliphate remains. May bring older machines to their knees.;;;;;;;;;;;;;x
# ancrel.paganify.tooltip;Turn the world pagan by culture. This is mostly for development.;;;;;;;;;;;;;x
# ancrel.9001.desc;Do you want to turn most of the world pagan? Be warned, nearly every single character will receive an event that converts their religion and that of their personal demesne. This may bring older computers to their knees. This is an unsupported feature primarily for development use!;;;;;;;;;;;;;x
# ancrel.9001.a;To the Old Gods!;;;;;;;;;;;;;x
# ancrel.9002.desc;Congrats! You're Celtic Pagan!;;;;;;;;;;;;;x
# ancrel.9003.desc;Congrats! You're Hellenic Pagan!;;;;;;;;;;;;;x
# ancrel.9004.desc;Congrats! You're Egyptian Pagan!;;;;;;;;;;;;;x
# ancrel.9005.desc;Congrats! You're West African Pagan!;;;;;;;;;;;;;x
# ancrel.9006.desc;Congrats! You're Slavic Pagan!;;;;;;;;;;;;;x
# ancrel.9007.desc;Congrats! You're Norse Pagan!;;;;;;;;;;;;;x
# ancrel.9008.desc;Congrats! You're Zoroastrian!;;;;;;;;;;;;;x
# ancrel.9009.desc;Congrats! You're Tengri Pagan!;;;;;;;;;;;;;x
# ancrel.9011.desc;Congrats! You're Promethean!;;;;;;;;;;;;;x
# ancrel.9012.desc;Congrats! You're a Titan Cultist!;;;;;;;;;;;;;x
# ancrel.9013.desc;Congrats! You're an Aten Pagan!;;;;;;;;;;;;;x
MNM.70400.c;This is too much!;;;;;;;;;;;;;x
MNM.70400.c.tt;You leave the [Root.GetSocietyName];;;;;;;;;;;;;x
must_not_fear_persecution;This character is too afraid of persecution to join.;;;;;;;;;;;;;x
###### Generic Artifacts;;;;;;;;;;;;;x
wine_left_0;Poisoned Wine;;;;;;;;;;;;x
wine_left_0_desc;These bottles of otherwise acceptable wine have been infused with a, potentially deadly, poison.;;;;;;;;;;;;x
wine_left_1;Weak Wine;;;;;;;;;;;;x
wine_left_1_desc;This wine is weak, both in flavor and alcohol. It is good for cooking and desperate drunks.;;;;;;;;;;;;x
wine_left_2;Common Wine;;;;;;;;;;;;x
wine_left_2_desc;These bottles contain average wine. It won't offend anyone, but it won't impress either.;;;;;;;;;;;;x
wine_left_3;Fine Wine;;;;;;;;;;;;x
wine_left_3_desc;This wine is of a good quality, something all but the most particular pallete would enjoy.;;;;;;;;;;;;x
wine_left_4;Exquisite Wine;;;;;;;;;;;;x
wine_left_4_desc;This batch of wine is of surpassing quality, very few ever experience the pleasure of drinking a wine like this.;;;;;;;;;;;;x
wine_left_5;Perfect Wine;;;;;;;;;;;;x
wine_left_5_desc;These bottles are the pinnacle of wine-making. Skill alone could not produce such a draught, only divine intervention could provide the necessary circumstances.;;;;;;;;;;;;x
wine_right_0;Deadly Wine;;;;;;;;;;;;x
wine_right_1;Fragrant Wine;;;;;;;;;;;;x
wine_right_2;Heady Wine;;;;;;;;;;;;x
wine_right_3;Tart Wine;;;;;;;;;;;;x
wine_right_4;Potent Wine;;;;;;;;;;;;x
wine_right_5;Spirited Wine;;;;;;;;;;;;x
oil_left_0;Poisoned Oil;;;;;;;;;;;;x
oil_left_1;Annointing Oil;;;;;;;;;;;;x
oil_left_2;Cleansing Oil;;;;;;;;;;;;x
oil_left_3;Perfumed Oil;;;;;;;;;;;;x
oil_left_4;Delicate Oil;;;;;;;;;;;;x
oil_left_5;Pheromone Oil;;;;;;;;;;;;x
oil_right_0;Rancid Oil;;;;;;;;;;;;x
oil_right_1;Musky Oil;;;;;;;;;;;;x
oil_right_2;Floral Oil;;;;;;;;;;;;x
oil_right_3;Woody Oil;;;;;;;;;;;;x
oil_right_4;Fruity Oil;;;;;;;;;;;;x
oil_right_5;Rich Oil;;;;;;;;;;;;x
