#CODE;;;;;;;;;;;;;;x
EVTNAME319900;The Siege of [From.GetName];;;;;;;;;;;;;;x
EVTDESC319900;With the defences broken and [From.GetName] fully occupied, the settlement is at our mercy. It is time for us to decide whether to sack, pillage and burn, or whether to preserve the land and be merciful towards the current [From.Holder.Culture.GetName] occupants of the castle.;;;;;;;;;;;;;;x
EVTOPTA319900;We shall be respectful of [From.GetName] and its people.;;;;;;;;;;;;;;x
EVTOPTB319900;Loot everything of worth.;;;;;;;;;;;;;;x
EVTOPTC319900;[From.GetName] shall burn.;;;;;;;;;;;;;;x
EVTTT319900A;\nSeveral buildings within §Y[From.GetName]§W will be set on fire. It is unknown how many of the structures will be destroyed and how many will remain standing.\n\n;;;;;;;;;;;;;;x
EVTTT319900B;\nA few buildings within §Y[From.GetName]§W might get damaged or destroyed during the raid.\n\n;;;;;;;;;;;;;;x
EVTNAME319920;The Siege of [From.GetName];;;;;;;;;;;;;;x
EVTDESC319920;With the defences broken and [From.GetName] fully occupied, the town and its people are at the mercy of our forces. It is time for us to decide whether to sack, pillage and burn, or whether to preserve the land and be merciful towards the current [From.Holder.Culture.GetName] holders of the town.;;;;;;;;;;;;;;x
EVTOPTA319920;[From.GetName] will be left untouched, along with its people.;;;;;;;;;;;;;;x
EVTOPTB319920;Loot everything of worth. I will have their gold.;;;;;;;;;;;;;;x
EVTOPTC319920;This disgusting town shall be razed. Burn it.;;;;;;;;;;;;;;x
EVTNAME319980;[FromFrom.GetName] Depredated;;;;;;;;;;;;;;x
EVTDESC319980;We have received reports that our enemies, led by [From.GetBestName], have pillaged and plundered [FromFrom.GetName], looting everything of worth. Most of the residents surrendered all their belongings in return for their lives being spared.;;;;;;;;;;;;;;x
EVTOPTA319980;This is unacceptable!;;;;;;;;;;;;;;x
EVTDESC319981;We have received reports that our enemies, led by [From.GetBestName], have pillaged and plundered the town [FromFrom.GetName], looting everything of value. Most people surrendered all their belongings in return for their lives being spared.;;;;;;;;;;;;;;x
