MAPMODE_TERRAIN;§YTerrain§!;;;;;;;;;;;;;x
MAPMODE_TERRAIN_DESC;The default, terrain, map mode.;;;;;;;;;;;;;x
MAPMODE_REALM;§YIndependent Realms§!;;;;;;;;;;;;;x
MAPMODE_REALM_DESC;This map mode shows all independent Realms.;;;;;;;;;;;;;x
MAPMODE_DOMAIN;§YMy Realm§!;;;;;;;;;;;;;x
MAPMODE_DOMAIN_DESC;This map mode highlights your own Realm (your holdings and those of your vassals.);;;;;;;;;;;;;x
MAPMODE_DEMESNE;§YMy Demesne§!;;;;;;;;;;;;;x
MAPMODE_DEMESNE_DESC;This map mode highlights your own Demesne (your own holdings).;;;;;;;;;;;;;x
MAPMODE_RELIGION;§YReligions§!;;;;;;;;;;;;;x
MAPMODE_RELIGION_DESC;This map mode show the spread of all religions in Britain.;;;;;;;;;;;;;x
MAPMODE_CULTURE;§YCultures§!;;;;;;;;;;;;;x
MAPMODE_CULTURE_DESC;This map mode shows the distribution of distinct cultures.;;;;;;;;;;;;;x
MAPMODE_DUCHIES;§YDe Jure High Lordships§!;;;;;;;;;;;;;x
MAPMODE_DUCHIES_DESC;This map mode shows all the geographical and traditional ('de jure') high lordships and palatine kingdoms.;;;;;;;;;;;;;x
MAPMODE_KINGDOMS;§YDe Jure Kingdoms§!;;;;;;;;;;;;;x
MAPMODE_KINGDOMS_DESC;This map mode shows all the geographical and traditional ('de jure') kingdoms.;;;;;;;;;;;;;x
MAPMODE_DIPLO;§YDiplomatic Relations§!;;;;;;;;;;;;;x
MAPMODE_DIPLO_DESC;This map mode shows your diplomatic relations with other rulers.;;;;;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES;§YLords§!;;;;;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES_DESC;This map mode shows all the lords.;;;;;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES;§YHigh Lords§!;;;;;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES_DESC;This map mode shows all the high lords and vassal kings.;;;;;;;;;;;;;x
MAPMODE_DEFACTO_KINGDOMS;§YKings§!;;;;;;;;;;;;;x
MAPMODE_DEFACTO_KINGDOMS_DESC;This map mode shows all the Kings.;;;;;;;;;;;;;x
MAPMODE_DEFACTOUNDERINDEPENDENT;§YDirect Vassals§!;;;;;;;;;;;;;x
MAPMODE_DEFACTOUNDERINDEPENDENT_DESC;This map mode shows direct vassals under independent rulers.;;;;;;;;;;;;;x
MAPMODE_PLAYERS;§YPlayers§!;;;;;;;;;;;;;x
MAPMODE_PLAYERS_DESC;This map mode shows all the players and their realms.;;;;;;;;;;;;;x
MAPMODE_EMPIRES;§YDe Jure High Kingdoms§!;;;;;;;;;;;;;x
MAPMODE_EMPIRES_DESC;This map mode shows all the geographical and traditional ('de jure') High Kingdoms.;;;;;;;;;;;;;x
MAPMODE_ECONOMY;§YEconomy§!;§YÉconomie§!;§YWirtschaft§!;;§YEconomía§!;;;;;;;;;x
MAPMODE_ECONOMY_DESC;This map mode shows the income levels of the provinces.;;;;;;;;;;;;;x
MAPMODE_REVOLT_RISK;§YRevolt Risk§!;;;;;;;;;;;;;x
MAPMODE_REVOLT_RISK_DESC;This map mode shows the risk of a peasant uprising.;;;;;;;;;;;;;x
MAPMODE_DYNASTY;§YDynasties§!;;;;;;;;;;;;;x
MAPMODE_DYNASTY_DESC;This map mode shows the ruling dynasties of Britain.;;;;;;;;;;;;;x
MAPMODE_OPINIONS;§YOpinions§!;;;;;;;;;;;;;x
MAPMODE_OPINIONS_DESC;This map mode shows the opinions of other rulers toward the selected character.;;;;;;;;;;;;;x
