#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_warriors_of_britain;Brotherhood of Britain;;;;;;;;;;;;;x
c_wolftails;Wolftails;;;;;;;;;;;;;x
c_mountain_riders;Mountain Horsemen;;;;;;;;;;;;;x
d_swords_of_woden;Swords of Woden;;;;;;;;;;;;;x
d_irish_corsairs;Black Sails of Munster;;;;;;;;;;;;;x
d_sails_of_dalriada;Sails of Dalriada;;;;;;;;;;;;;x
c_spears_of_gwynedd;Spears of Gwynedd;;;;;;;;;;;;;x
d_defenders_of_the_gods;People of the Gods;;;;;;;;;;;;;x
d_people_of_christ;Disciples of Christ;;;;;;;;;;;;;x
d_black_shields;Black Shields;;;;;;;;;;;;;x
c_cohors_cornoviorum;Cohors Primae Cornoviorum;;;;;;;;;;;;;x
c_cohors_de_lactodorum;Cohors Sextae de Lactodorum;;;;;;;;;;;;;x
c_cohors_de_burrium;Cohors Secundae de Burrium;;;;;;;;;;;;;x
d_red_spears;Red Spears;;;;;;;;;;;;;x
c_greyhounds;Greyhounds;;;;;;;;;;;;;x
d_warriors_of_thunor;Warriors of Thunor;;;;;;;;;;;;;x
c_forest_archers;Archers of the Forest;;;;;;;;;;;;;x
d_spears_of_leinster;Spears of Leinster;;;;;;;;;;;;;x
d_spears_of_bernicia;Spears of Bernicia;;;;;;;;;;;;;x
d_spears_of_mercia;Spears of Mercia;;;;;;;;;;;;;x
d_swords_of_sussex;South Saxons;;;;;;;;;;;;;x
d_swords_of_wessex;Swords of West Seaxe;;;;;;;;;;;;;x
d_swords_of_essex;Swords of East Seaxe;;;;;;;;;;;;;x
d_east_angles;Middle Angles;;;;;;;;;;;;;x
d_thuringian_sellswords;Thuringian Sellswords;;;;;;;;;;;;;x
d_frisian_raiders;Frisian Raiders;;;;;;;;;;;;;x
d_holypelagian;Equites Liberi Arbitrii;;;;;;;;;;;;;x
d_brotherhood_of_the_shield;Brotherhood of the Shield;;;;;;;;;;;;;x
d_sons_of_ireland;Sons of Ireland;;;;;;;;;;;;;x
d_lost_company;Lost Company;;;;;;;;;;;;;x
d_order_of_the_cross;Order of the Cross;;;;;;;;;;;;;x
d_order_of_the_light;Order of the Purifying Light;;;;;;;;;;;;;x
d_swords_of_septimania;Swords of Septimania;;;;;;;;;;;;;x
c_ystradcludiansagittarii;Selgovic Sagitarii;;;;;;;;;;;;;x
d_kerns_of_connacht;Kerns of Connacht;;;;;;;;;;;;;x
d_company_of_the_bear;Company of the Bear;;;;;;;;;;;;;x
c_saxon_black_guard;Jutish Guard;;;;;;;;;;;;;x
d_merovingian_guard;Merovingian Guard;;;;;;;;;;;;;x
c_brotherhood_horsemen;Brotherhood Horsemen;;;;;;;;;;;;;x
d_burgundian_guard;Burgundian Guard;;;;;;;;;;;;;x
c_vasconic_spearsmen;Vasconic Spearsmen;;;;;;;;;;;;;x
c_red_bulls;Red Bulls;;;;;;;;;;;;;x
d_valacrian_oarsmen;Valacrian Oarsmen;;;;;;;;;;;;;x
d_saxon_riders;Saxon Riders;;;;;;;;;;;;;x
d_namnetian_spearlords;Namnetian Spearlords;;;;;;;;;;;;;x
d_alan_riders;Alan Riders;;;;;;;;;;;;;x
