#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
REL_CAPTOR;Captor;;;;;;;;;;;;;;x
PALACE_NAME;$DYNASTY$ Palace;;;;;;;;;;;;;;x
family_palace;Palace;;;;;;;;;;;;;;x
family_palace_baron;Civis;;;;;;;;;;;;;;x
family_palace_baron_oldfrankish;Patrez;;;;;;;;;;;;;;x
family_palace_baron_roman;Patricius;;;;;;;;;;;;;;x
family_palace_baron_oldfrisian;Patrez;;;;;;;;;;;;;;x
family_palace_baron_frisian;Patrez;;;;;;;;;;;;;;x
family_palace_baron_female;Lady;;;;;;;;;;;;;;x
family_palace_barony_of;Palace of;;;;;;;;;;;;;;x
family_palace_baron_foa;Sir;;;;;;;;;;;;;;x
family_palace_baron_deed;Chair of;;;;;;;;;;;;;;x
fp_mansion_1;Manor;;;;;;;;;;;;;;x
fp_mansion_2;Great Manor;;;;;;;;;;;;;;x
fp_mansion_3;Palace;;;;;;;;;;;;;;x
fp_mansion_4;Great Palace;;;;;;;;;;;;;;x
fp_barracks_1;Guard Barracks;;;;;;;;;;;;;;x
fp_barracks_2;Swordsmith;;;;;;;;;;;;;;x
fp_barracks_3;Armory;;;;;;;;;;;;;;x
fp_stable_1;Small Stable;;;;;;;;;;;;;;x
fp_stable_2;Riding Grounds;;;;;;;;;;;;;;x
fp_stable_3;Horse Breeder;;;;;;;;;;;;;;x
fp_bowyer_1;Bowyer;;;;;;;;;;;;;;x
fp_bowyer_2;Archery Range;;;;;;;;;;;;;;x
fp_bowyer_3;Crossbow Workshop;;;;;;;;;;;;;;x
fp_shipyard_1;Private Docks;;;;;;;;;;;;;;x
fp_shipyard_2;Private Shipyard;;;;;;;;;;;;;;x
fp_shipyard_3;Shipyard;;;;;;;;;;;;;;x
fp_warehouse_1;Private Archive;;;;;;;;;;;;;;x
fp_warehouse_2;Warehouse;;;;;;;;;;;;;;x
fp_warehouse_3;Palace Archive;;;;;;;;;;;;;;x
fp_garden_1;Courtyard;;;;;;;;;;;;;;x
fp_garden_2;Gardens;;;;;;;;;;;;;;x
fp_garden_3;Water Pool;;;;;;;;;;;;;;x
fp_cellar_1;Wine Cellar;;;;;;;;;;;;;;x
fp_cellar_2;Dungeon;;;;;;;;;;;;;;x
fp_cellar_3;Underground Maze;;;;;;;;;;;;;;x
fp_shrine_1;Secluded Shrine;;;;;;;;;;;;;;x
fp_shrine_2;Gallery of Statues;;;;;;;;;;;;;;x
fp_shrine_3;Great Temple Hall;;;;;;;;;;;;;;x
fp_vault_1;Fortified Chamber;;;;;;;;;;;;;;x
fp_vault_2;Secret Corridor;;;;;;;;;;;;;;x
fp_vault_3;Hidden Stone Vault;;;;;;;;;;;;;;x
tr_port_1;Small Merchant Port;;;;;;;;;;;;;;x
tr_port_2;Merchant Port;;;;;;;;;;;;;;x
tr_port_3;Large Merchant Port;;;;;;;;;;;;;;x
tr_warehouse_1;Small Warehouse;;;;;;;;;;;;;;x
tr_warehouse_2;Warehouse;;;;;;;;;;;;;;x
tr_warehouse_3;Large Warehouse;;;;;;;;;;;;;;x
tr_enclave_1;Small Merchant Enclave;;;;;;;;;;;;;;x
tr_enclave_2;Merchant Enclave;;;;;;;;;;;;;;x
tr_enclave_3;Large Merchant Enclave;;;;;;;;;;;;;;x
tr_garrison_1;Small Garrison;;;;;;;;;;;;;;x
tr_garrison_2;Garrison;;;;;;;;;;;;;;x
tr_garrison_3;Large Garrison;;;;;;;;;;;;;;x
tr_fort_1;Small Fort;;;;;;;;;;;;;;x
tr_fort_2;Fort;;;;;;;;;;;;;;x
tr_fort_3;Large Fort;;;;;;;;;;;;;;x
title_state_inquisitor;State Inquisitor;;;;;;;;;;;;;;x
title_state_inquisitor_desc;The three State Inquisitors are charged with ensuring the security of the Republic against threats both internal and external.;;;;;;;;;;;;;;x
title_high_admiral;High Admiral;;;;;;;;;;;;;;x
title_high_admiral_desc;The High Admiral is formally the chief of the Admiralty and in charge of the Republic's Navy, though he often relies on a competent staff.;;;;;;;;;;;;;;x
title_high_judge;High Judge;;;;;;;;;;;;;;x
title_high_judge_desc;The High Judge is the supreme justice of the Republic, who answers only to the Council in most legal matters.;;;;;;;;;;;;;;x
EXPENSE_FAMILY_DUES;Family Dues;;;;;;;;;;;;;;x
TRIGGER_CAPITAL_HOLDING;Capital Holding;;;;;;;;;;;;;;x
LIFT_EMBARGO_EFFECT;Lift Embargo against $WHO$\n;;;;;;;;;;;;;;x
TRADE_INCOME;Trade Income;;;;;;;;;;;;;;x
TRIGGER_TRADE_POST_OWNER;Trade Post Owner;;;;;;;;;;;;;;x
FAM_REAL_FATHER;Real Father;;;;;;;;;;;;;;x
AN_UNKNOWN_FATHER;an unknown father;;;;;;;;;;;;;;x
WAS_NOT_CONCEIVED_A_BASTARD;Was NOT conceived a Bastard;;;;;;;;;;;;;;x
WAS_CONCEIVED_A_BASTARD;Was conceived a Bastard;;;;;;;;;;;;;;x
FATHER_OF_UNBORN_KNOWN;The Father of the Unborn Baby is NOT Known;;;;;;;;;;;;;;x
FATHER_OF_UNBORN_NOT_KNOWN;The Father of the Unborn Baby is Known;;;;;;;;;;;;;;x
EVTOPTA319;Oops...;;;;;;;;;;;;;;x
RESPECT;Respect;;;;;;;;;;;;;;x
RESPECT_DESC;Respect is a value based on the age and prestige of a Republican citizen, determining how likely he is to be elected to public offices.;;;;;;;;;;;;;;x
AGE_FACTOR;Age Factor;;;;;;;;;;;;;;x
IS_PATRICIAN;Is Republican Citizen;;;;;;;;;;;;;;x
ISNT_PATRICIAN;Is NOT Republican Citizen;;;;;;;;;;;;;;x
IS_MERCHANT_REPUBLIC;Is Merchant Republic;;;;;;;;;;;;;;x
ISNT_MERCHANT_REPUBLIC;Is NOT Merchant Republic;;;;;;;;;;;;;;x
patrician_elective;Republican Elective;;;;;;;;;;;;;;x
succ_patrician_elective;Republican Elective;;;;;;;;;;;;;;x
succ_patrician_elective_desc;This is the succession type used by Trade Republics and Civil Diœceses. The next ruler is determined from among the heads of the five greatest families depending on age, prestige, and invested civil funds.;;;;;;;;;;;;;;x
IN_FAVOR_OF;in favor of §Y$NAME$§W;;;;;;;;;;;;;;x
NO_BANKRUPT;You are not bankrupt;;;;;;;;;;;;;;x
TRADEPOST_PROV;Trade Post of $PROV$;;;;;;;;;;;;;;x
TRADEPOST_PROV_LONG;Trade Post of $PROV$ - §Y$REPUBLIC$§! ( §Y$FAMILY$§! );;;;;;;;;;;;;;x
BUILD_TRADE_POST;Build a new Trade Post;;;;;;;;;;;;;;x
TRADE_COST_DIST_TOTAL;Distance Penalty: §Y+$PENALTY$%§! ( §Y$MULT$%§! of total Distance );;;;;;;;;;;;;;x
TRADE_COST_DIST;Distance to Republican Province ( §Y$PROVINCE$§W ): §Y$COST$§W;;;;;;;;;;;;;;x
TRADE_COST_REGION_PEN;Different Trade Region: §Y+$PENALTY$§!;;;;;;;;;;;;;;x
TRADE_COST_MULT;Distance to Cost Multiplier: §Y$MULT$%§!;;;;;;;;;;;;;;x
TOTAL_COST;Total Cost: §Y$COST$§W;;;;;;;;;;;;;;x
TRADEPOST_FINISHED_SETUP;Trade Post Construction Finished;;;;;;;;;;;;;;x
TRADEPOST_FINISHED_LOG;A Trade Post has been built by the §Y$FAMILY$§! family of §Y$REPUBLIC$§! in §Y$PROVINCE$§!;;;;;;;;;;;;;;x
TRADEPOST_OWNER;Trade Post is owned by the §Y$FAMILY$§W family;;;;;;;;;;;;;;x
TRADEZONE_OWNER;This Trade Zone is owned by the §Y$FAMILY$§! family of §YThe $REPUBLIC$§!;;;;;;;;;;;;;;x
TRADEREGION_DESC;This province belongs to §YThe $REGION$§!;;;;;;;;;;;;;;x
TRADE;Trade;;;;;;;;;;;;;;x
TRADE_ZONE;Trade Zone:;;;;;;;;;;;;;;x
TOTAL_TRADE_FAMILY;Family Total:;;;;;;;;;;;;;;x
TRADE_ZONE_BONUS;Trade Zone Bonus;;;;;;;;;;;;;;x
TRADE_CONNECTED_BONUS;Connected to Capital;;;;;;;;;;;;;;x
CURRENT_INCOME;Current base income: §Y$INCOME$§!;;;;;;;;;;;;;;x
INCOME_TRADEPOST;Income from this Trade post;;;;;;;;;;;;;;x
TRADEZONE_SIZE;Trade Zone Size;;;;;;;;;;;;;;x
TRADEZONE_SIZE_DESC;The number of Trade Posts in the Trade Zone this Trade Post is part of;;;;;;;;;;;;;;x
TRADEZONE_VALUE;Trade Zone Value;;;;;;;;;;;;;;x
TRADEZONE_VALUE_DESC;The value of all Holdings in this trade zone\nIncreases the value of Trade Posts and Cities in this Trade Zone:\nTrade Posts: §Y$TPBONUS$§!\nCities: §Y$CTBONUS$§!;;;;;;;;;;;;;;x
TRADEZONE_INCOME;Trade Zone Income;;;;;;;;;;;;;;x
TRADEZONE_INCOME_DESC;Total Income from all Trade Posts in this Trade Zone: §Y$INCOME$§!¤;;;;;;;;;;;;;;x
TheRepublicDLC;The Republic;La République;Die Republik;;La República;;;;;;;;;x
CONFIRM_BUILD_TRADEPOST_TITLE;Build Trade Post;;;;;;;;;;;;;;x
CONFIRM_BUILD_TRADEPOST_DESC;Are you sure you want to build a Trade Post?\nIt will cost you §Y$COST$§!¤ and will be finished on §Y$FINISHED$§!;;;;;;;;;;;;;;x
TRADEFAMILY_INCOME;Total Family Income;;;;;;;;;;;;;;x
TRADEFAMILY_INCOME_DESC;Total Income from all Trade Posts owned by the §Y$FAMILY$§! family: §Y$INCOME$§!¤;;;;;;;;;;;;;;x
TRADEFAMILY_SIZE;Total Family Size;;;;;;;;;;;;;;x
