#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
WtWSMS_flavour.20.desc;The time has come for the annual Akelarre. This ritual pays devotion to Aker, a revered black goat said to represent the goddess Mari. Invitations must be sent to all of Your Grace's vassals lest no one attends.;Le temps est venu pour l'Akelarre annuel. Ce rituel est dévoué à Aker, un bouc noir révéré qui représente la déesse Mari. Des invitations doivent être envoyées à tous les vassaux de Votre Grace, de peur que personne ne participe.;;;;;;;;;;x
WtWSMS_flavour.20.a;Send a letter to all vassals. I pray they can attend this event.;Envoyez une lettre à tous les vassaux. Je prie pour qu'ils puissent assister à cet événement;;;;;;;;;;x
akelarre_invitations_sent;You send out invitations to your Vasconic vassals for the traditional Akelarre ritual;Vous envoyez des invitations à vos vassaux vasconiques pour le traditionnel rituel d'Akelarre ;;;;;;;;;;;;x
WtWSMS_flavour.21.desc;Your liege has invited you to attend the famed Akelarre, an annual ritual devoted to the black goat Aker, an attribute of the goddess Mari. Being invited to such an important event is quite the honor.;Votre suzerain vous a invité à assister au célèbre Akelarre, un rituel annuel consacré au bouc noir Aker, un attribut de la déesse Mari. Être invité à un événement aussi important est un honneur.;;;;;;;;;;x
WtWSMS_flavour.21.a;I will most certainly attend this event!;Je vais certainement assister à cet événement!;;;;;;;;;;x
akelarre_accepted;You accept the invitation.;Accepter l'invitation;Sie nehmen die Einladung an;;Aceptas la invitación.;;;;;;;;;x
WtWSMS_flavour.21.b;Bah! Such bizarre rituals interest me naught!;Bah! Des rituels aussi bizarres ne m'intéressent en rien!;;;;;;;;;;x
akelarre_declined;You decline the invitation.;Refuser l'invitation;Sie lehnen die Enladung ab;;Rechazas la invitación.;;;;;;;;;x
WtWSMS_flavour.22.desc;Your Highness, [From.GetTitledFirstName] has refused to appear at the Akelarre, stating [From.GetSheHe] had more important matters to attend to.;Votre Altesse, [From.GetTitledFirstName] a refusé d'apparaître à l'Akelarre, indiquant qu'[From.GetSheHe] a eu des affaires plus importantes à gérer.;;;;;;;;;;x
WtWSMS_flavour.22.a;That bastard! Such a slight on my reputation will not go unnoticed!;Ce bâtard! Une telle légèreté sur ma réputation ne passera pas inaperçue!;;;;;;;;;;x
WtWSMS_flavour.23.name;The Akelarre;L'Akelarre;;;;;;;;;;x
