# 451 - Silvanectia

# County Title
title = c_silvanectia

# Settlements
max_settlements = 2
b_silvanectiacastle = castle
b_silvanectiatown = city

# Misc
culture = romanogallic
religion = catholic
terrain = woods

# History
410.1.1 = { 
	b_silvanectiacastle = ca_wall_1			# Wooden Palisade
	b_silvanectiacastle = ca_wall_2			# Fortified Wooden Wall
	b_silvanectiacastle = ca_wall_q_1			# Earthen Ramparts
	b_silvanectiacastle = ca_keep_1 			# Wooden Hall
	b_silvanectiacastle = ca_training_grounds_1 	# Training Grounds
	b_silvanectiacastle = ca_stable_1			# Small Stable
	b_silvanectiacastle = ca_barracks_1			# Guard Quarters
	b_silvanectiatown = ct_wall_1			# Town Palisade
	b_silvanectiatown = ct_wall_2			# Fortified Wooden Wall
	b_silvanectiatown = ct_wall_q_1		# Earthen Ramparts
	b_silvanectiatown = ct_guard_1			# Garrison Quarters
	b_silvanectiatown = ct_marketplace_1		# Local Market
}
