# 9 - Durocobrivis


# County Title
title = c_durocobrivis

# Settlements
max_settlements = 2
b_durocobriviscastle = castle
b_durocobrivistown = city


# Misc
culture = romanobritish
religion = catholic
terrain = hills

# History
410.1.1 = { 
	b_durocobriviscastle = ca_wall_1			# Wooden Palisade
	b_durocobriviscastle = ca_wall_2			# Fortified Wooden Wall
	b_durocobriviscastle = ca_wall_q_1			# Earthen Ramparts
	b_durocobriviscastle = ca_wall_q_2			# Motte and Bailey
	b_durocobriviscastle = ca_keep_1 			# Wooden Hall
	b_durocobriviscastle = ca_keep_2 			# Wooden Keep
	b_durocobriviscastle = ca_training_grounds_1 		# Training Grounds
	b_durocobriviscastle = ca_stable_1			# Small Stable
	b_durocobriviscastle = ca_barracks_1			# Guard Quarters
	b_durocobrivistown = ct_wall_1			# Town Palisade
	b_durocobrivistown = ct_wall_2			# Fortified Wooden Wall
	b_durocobrivistown = ct_wall_q_1		# Earthen Ramparts
	b_durocobrivistown = ct_wall_q_2		# Gatehouse
	b_durocobrivistown = ct_guard_1			# Garrison Quarters
	b_durocobrivistown = ct_guard_2			# Guard Quarters
	b_durocobrivistown = ct_justice_1		# Town Hall
	b_durocobrivistown = ct_marketplace_1		# Local Market
	b_durocobrivistown = ct_training_grounds_1	# Local Training Grounds
	b_durocobrivistown = ct_training_grounds_2	# Small Training Grounds
}
