#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
britannic.0.title;Arch-Dryad Seated;;;;;;;;;;;;;x
britannic.0.desc;[Root.GetTitledFirstName]'s Church Council has elevated [archdryad.GetFirstName] to the position of Arch-Dryad, establishing her as the ultimate spiritual authority for Britannic people everywhere. How she will wield this authority remains to be seen.;;;;;;;;;;;;;x
britannic.0.a;All hail [archdryad.GetTitledFirstName]!;;;;;;;;;;;;;x
britannic.0.b;So they've decided on a head heretic?;;;;;;;;;;;;;x
britannic.0.c;They're still heathens...;;;;;;;;;;;;;x
britannic.3.desc;[FromFrom.GetFullName], [FromFrom.GetTitle] of [FromFrom.PrimaryTitle.GetName], has given birth to a child by [From.Father.GetFullName]. The baby, a [From.GetBoyGirl] named [From.GetFirstName] is truly a blessing from the Holy Mother herself.;;;;;;;;;;;;;x
britannic.3.a;A joyous ocassion indeed!;;;;;;;;;;;;;x
britannic.5.desc;It has become apparent that [From.GetTitledFirstName] has been living a life unbecoming of a Dryad, and has been unable to keep it secret. Her wickedness is now public knowledge.;;;;;;;;;;;;;x
britannic.5.a;Disgraceful;;;;;;;;;;;;;x
britannic.7.desc;It has become public knowledge that the Arch-Dryad, of all people, has been living a life of wickedness.;;;;;;;;;;;;;x
britannic.7.a;Of all people...;;;;;;;;;;;;;x
britannic.10.title;The Knights of Saint Boudicca;;;;;;;;;;;;;x
britannic.10.desc;As one of her first acts, the Arch-Dryad has approved the charter for an order of holy warriors calling themselves the Knights of Saint Boudicca. This order is sworn to protect Britannic peoples everywhere and to serve the Arch-Dryad in her capacity as the head of the Britannic Church and chief servant of the Holy Mother Britannia.;;;;;;;;;;;;;x
britannic.10.a;For the Holy Mother!;;;;;;;;;;;;;x
britannic.10.b;Women? With swords?!;;;;;;;;;;;;;x
britannic.10.c;This is getting out of hand...;;;;;;;;;;;;;x
britannic.22.desc.bad_dryad;A Dryad has arrived in your court bearing a message from [From.GetTitledFirstName] herself. "It has come to my attention that you have a disgraced Dryad on your council. This cannot stand! I have sent [new_dryad.GetFirstName] to replace the dark influence in your court. Heed her advice, good [Root.GetTitle]."\n\nWhat do you do?;;;;;;;;;;;;;x
britannic.22.desc.cynic;A Dryad has arrived in your court bearing a message from [From.GetTitledFirstName] herself. "It has come to my attention that you have someone lacking in faith on your council. I have sent [new_dryad.GetFirstName] to replace them. Heed her advice, good [Root.GetTitle]."\n\nWhat do you do?;;;;;;;;;;;;;x
britannic.22.desc.other;A Dryad has arrived in your court bearing a message from [From.GetTitledFirstName] herself. "It has come to my attention that you lack the wisdom of a trained Dryad on your council. I have sent [new_dryad.GetFirstName] to serve this role. Heed her advice, good [Root.GetTitle]."\n\nWhat do you do?;;;;;;;;;;;;;x
britannic.22.a;As the Arch-Dryad commands.;;;;;;;;;;;;;x
britannic.22.b;I alone choose my small-council!;;;;;;;;;;;;;x
britannic.22.b.tt;[new_dryad.GetFirstName] returns to [From.GetTitledFirstName]'s court with your answer.;;;;;;;;;;;;;x
britannic.22.c;Perhaps I can convince her otherwise...;;;;;;;;;;;;;x
britannic.22.d;Perhaps I can defend my choice with scripture...;;;;;;;;;;;;;x
britannic.25.contract;An emissary has arrived with a message from the [From.GetTitle].\n"I've received pleas for relief from the levy obligations you've imposed on the Dryads in your realm. They feel overly burdened and unsafe. I suggest you lower their obligations."\nWhat do you do?;;;;;;;;;;;;;x
britannic.25.tax;An emissary has arrived with a message from the [From.GetTitle].\n"I've received pleas for relief from the taxes you've imposed on the Dryads in your realm. They feel unable to minister to the populace under such a burden. I suggest you lower their obligations."\nWhat do you do?;;;;;;;;;;;;;x
britannic.25.zeus;An emissary has arrived with a message from the [From.GetTitle].\n"I've received pleas for relief from the unbalanced obligations you've imposed on the Dryads in your realm. They feel strained to meet them and their people's needs. I suggest you alter their obligations."\nWhat do you do?;;;;;;;;;;;;;x
britannic.25.a;Of course, I will follow her council.;;;;;;;;;;;;;x
britannic.25.b;My realm, my laws.;;;;;;;;;;;;;x
britannic.25.c;Perhaps I can convince her otherwise...;;;;;;;;;;;;;x
britannic.25.d;Perhaps I can defend my laws in scripture...;;;;;;;;;;;;;x
britannic.27.desc;Dear [Root.GetTitledFirstName],\nI have received your generous donation. It is clear you do not need my guidance at this time.\nSigned, [From.GetTitledFirstName];;;;;;;;;;;;;x
