# #CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# #Event/decision/modifier definitions;;;;;;;;;;;;;;x
# ###### Hellenic revival;;;;;;;;;;;;;;x
# nick_the_apostate;the Apostate;;;;;;;;;;;;;x
# opinion_no_hellenic_state_religion;Did not establish a Hellenic state religion;N'a pas choisi l'hellénisme comme religion d'état;;;;;;;;;;;;x
# opinion_no_forced_hellenic_state_religion;Did not enforce a Hellenic state religion;N'a pas forcé l'hellénisme en tant que religion d'état;;;;;;;;;;;;x
# opinion_hellenic_state_religion;Established a Hellenic state religion;A établi l'hellénisme comme religion d'état;;;;;;;;;;;;x
# opinion_forced_hellenic_state_religion;Enforced a Hellenic state religion;A forcé l'hellénisme comme religion d'état;;;;;;;;;;;;x
# opinion_adopted_hellenic_state_religion;Adopted the Hellenic state religion;A adopté l'hellénisme d'état;;;;;;;;;;;;x
# opinion_rejected_hellenic_state_religion;Rejected the Hellenic state religion;A rejeté l'hellénisme d'état;;;;;;;;;;;;x
ancrel_streamlined_court;Streamlined Court;;;;;;;;;;;;;x
ancrel_streamlined_court_desc;This character's court policies have recently been overhauled, streamlining the beaurocracy of the realm and making it more efficient.;;;;;;;;;;;;;x
ancrel_platonic_curriculum;Neoplatonic Curriculum;;;;;;;;;;;;;x
ancrel_platonic_curriculum_desc;A curriculum heavy in Neoplatonic Philosophy and emphasizing exploration of new ideas is currently in place at Universities in this province.;;;;;;;;;;;;;x
ancrel_imperial_chronicle;Imperial Chronicle;;;;;;;;;;;;;x
ancrel_imperial_chronicle_desc;A recently published chronicle of the last century of Imperial History has cast this character's rule in a positive light, giving them increased legitimacy in the eyes of the Empire.;;;;;;;;;;;;;x
hellenic.0.desc;A stuttering but brilliant teacher of philosophy from the University of Constantinople has approached you and offered their services as an advisor. However, some at court worry the professor's reverence for Plato borders on the heretical.\n\nWhat is your answer?;;;;;;;;;;;;;x
hellenic.0.a;The Empire could use wise council in this time of need.;;;;;;;;;;;;;x
hellenic.0.a.tt;The Philosopher joins your court.;;;;;;;;;;;;;x
hellenic.0.b;I need swords and coin, not words!;;;;;;;;;;;;;x
hellenic.0.b.tt;The professor of philosophy stays at the University.;;;;;;;;;;;;;x
