L_INF;M;;;;;;;;;;;;;x
H_INF;W;;;;;;;;;;;;;x
PIKE;S;;;;;;;;;;;;;x
L_CAV;LH;;;;;;;;;;;;;x
H_CAV;C;;;;;;;;;;;;;x
ARCH;A;;;;;;;;;;;;;x
H_ARCH;HA;;;;;;;;;;;;;x
GALL;G;;;;;;;;;;;;;x
LIGHT_INFANTRY;Militians;;;;;;;;;;;;;x
LIGHT_INFANTRY_MORALE;Militians Morale;;;;;;;;;;;;;x
LIGHT_INFANTRY_DISCIPLINE;Militians Discipline;;;;;;;;;;;;;x
LIGHT_INFANTRY_OFFENSIVE_FIRE;Militians Attack;;;;;;;;;;;;;x
LIGHT_INFANTRY_DEFENSIVE_FIRE;Militians Defense;;;;;;;;;;;;;x
HEAVY_INFANTRY;Warriors;;;;;;;;;;;;;x
HEAVY_INFANTRY_MORALE;Warriors Morale;;;;;;;;;;;;;x
HEAVY_INFANTRY_DISCIPLINE;Warriors Discipline;;;;;;;;;;;;;x
HEAVY_INFANTRY_OFFENSIVE_FIRE;Warriors Attack;;;;;;;;;;;;;x
HEAVY_INFANTRY_DEFENSIVE_FIRE;Warriors Defense;;;;;;;;;;;;;x
PIKEMEN;Spearmen;;;;;;;;;;;;;x
PIKEMEN_MORALE;Spearmen Morale;;;;;;;;;;;;;x
PIKEMEN_DISCIPLINE;Spearmen Discipline;;;;;;;;;;;;;x
PIKEMEN_OFFENSIVE_FIRE;Spearmen Attack;;;;;;;;;;;;;x
PIKEMEN_DEFENSIVE_FIRE;Spearmen Defense;;;;;;;;;;;;;x
LIGHT_CAVALRY;Light Horsemen;;;;;;;;;;;;;x
LIGHT_CAVALRY_MORALE;Light Horsemen Morale;;;;;;;;;;;;;x
LIGHT_CAVALRY_DISCIPLINE;Light Horsemen Discipline;;;;;;;;;;;;;x
LIGHT_CAVALRY_OFFENSIVE_FIRE;Light Horsemen Attack;;;;;;;;;;;;;x
LIGHT_CAVALRY_DEFENSIVE_FIRE;Light Horsemen Defense;;;;;;;;;;;;;x
KNIGHTS;Cavalry;;;;;;;;;;;;;x
KNIGHTS_MORALE;Cavalry Morale;;;;;;;;;;;;;x
KNIGHTS_DISCIPLINE;Cavalry Discipline;;;;;;;;;;;;;x
KNIGHTS_OFFENSIVE_FIRE;Cavalry Attack;;;;;;;;;;;;;x
KNIGHTS_DEFENSIVE_FIRE;Cavalry Defense;;;;;;;;;;;;;x
ARCHERS;Archers;;;;;;;;;;;;;x
ARCHERS_MORALE;Archers Morale;;;;;;;;;;;;;x
ARCHERS_DISCIPLINE;Archers Discipline;;;;;;;;;;;;;x
ARCHERS_OFFENSIVE_FIRE;Archers Attack;;;;;;;;;;;;;x
ARCHERS_DEFENSIVE_FIRE;Archers Defense;;;;;;;;;;;;;x
HORSE_ARCHERS;Horse Archers;;;;;;;;;;;;;x
HORSE_ARCHERS_MORALE;Horse Archers Morale;;;;;;;;;;;;;x
HORSE_ARCHERS_DISCIPLINE;Horse Archers Discipline;;;;;;;;;;;;;x
HORSE_ARCHERS_OFFENSIVE_FIRE;Horse Archers Attack;;;;;;;;;;;;;x
HORSE_ARCHERS_DEFENSIVE_FIRE;Horse Archers Defense;;;;;;;;;;;;;x
GALLEYS;Galleys;;;;;;;;;;;;;x
GALLEYS_MORALE;Galleys Morale;;;;;;;;;;;;;x
GALLEYS_DISCIPLINE;Galleys Discipline;;;;;;;;;;;;;x
GALLEYS_OFFENSIVE_FIRE;Galleys Attack;;;;;;;;;;;;;x
GALLEYS_DEFENSIVE_FIRE;Galleys Defense;;;;;;;;;;;;;x
reckless_charge_tactic;Reckless Charge Tactic;;;;;;;;;;;;;x
timid_advance_tactic;Timid Advance Tactic;;;;;;;;;;;;;x
confused_orders_tactic;Confused Orders;;;;;;;;;;;;;x
hesitant_commander_tactic;Hesitant Commander;;;;;;;;;;;;;x
charging_own_skirmishers_tactic;Charging Through Own Skirmishers;;;;;;;;;;;;;x
inspired_defense_tactic;Inspired Defense Tactic;;;;;;;;;;;;;x
heroic_countercharge_tactic;Heroic Counter-Charge Tactic;;;;;;;;;;;;;x
clever_ambush_tactic;Clever Ambush Tactic;;;;;;;;;;;;;x
religious_fervour_tactic;Gripped by Religious Fervour;;;;;;;;;;;;;x
retreat_and_ambush_tactic;Retreat and Ambush Tactic;;;;;;;;;;;;;x
berserker_charge_tactic;Anglosaxon Berserker Charge;;;;;;;;;;;;;x
schiltron_formation_tactic;Roman Testudo Formation;;;;;;;;;;;;;x
pike_column_advance_tactic;British Shieldwall Advance;;;;;;;;;;;;;x
couched_lance_charge_tactic;Cavalry Lance Charge;;;;;;;;;;;;;x
