book_of_caleddin;Book of Caleddin;;;;;;;;;;;;;x
book_of_caleddin_desc;A book written by the druid Caleddin at the order of the Roman governor Svetonius. That anything was written at all was heretical, but it now survives as the last remaining source of the ancient knowledge of the druids.;;;;;;;;;;;;;x
horn_of_bran_galed;Horn of Bran Galed;;;;;;;;;;;;;x
horn_of_bran_galed_desc;A drinking horn said to have been owned by King Bran Galed of Byrneich, one of the thirteen Treasures of Britain. It is said that whatever drink might be wished for could be found in it.;;;;;;;;;;;;;x
knife_of_laufrodedd;Knife of Laufrodedd;;;;;;;;;;;;;x
knife_of_laufrodedd_desc;A knife said to have been owned by the hero Llawfrodedd Farfog, one of the thirteen Treasures of Britain. It is said to serve for twenty-four men to eat at a table.;;;;;;;;;;;;;x
cloak_of_rhegadd;Cloak of Rhegadd;;;;;;;;;;;;;x
cloak_of_rhegadd_desc;A cloak claimed to have mystical powers, one of the thirteen Treasures of Britain. Also known as the Mantle of Invisibility, it is said that whoever goes under it could be seen by none.;;;;;;;;;;;;;x
ring_of_eluned;Ring of Eluned;;;;;;;;;;;;;x
ring_of_eluned_desc;A ring said to have been forged in the Otherworld, said to have been owned by the lady Eluned, one of the thirteen Treasures of Britain. It is send to render its wearer invisible.;;;;;;;;;;;;;x
throwboard_of_gwenddolau;Throwboard of Gwenddolau;;;;;;;;;;;;;x
throwboard_of_gwenddolau_desc;A throwboard said to have been owned by King Guenddolau of Guendoleu, one of the thirteen Treasures of Britain. It is that if the pieces are set, they will play by themselves.;;;;;;;;;;;;;x
coat_of_padarn;Coat of Padarn;;;;;;;;;;;;;x
coat_of_padarn_desc;A coat said to have been owned by King Padarn Beisrudd of Manaw, one of the thirteen Treasures of Britain. It is said that it would perfectly fit any brave man, but would not go upon a coward.;;;;;;;;;;;;;x
hamper_of_garanhir;Hamper of Garanhir;;;;;;;;;;;;;x
hamper_of_garanhir_desc;A hamper said to have been owned by King Gwyddno Garanhir of Meirionydd, one of the thirteen Treasures of Britain. It is said that if food for one man is placed inside it, food for a hundred will be found when it is opened.;;;;;;;;;;;;;x
chariot_of_modron;Chariot of Modron;;;;;;;;;;;;;x
chariot_of_modron_desc;A chariot said to have been owned by King Morgan Mwynfawr of Gwent, one of the thirteen Treasures of Britain. It is said that it could bring one quickly to any destination he wishes.;;;;;;;;;;;;;x
whetstone_of_tudwal;Whetstone of Tudwal;;;;;;;;;;;;;x
whetstone_of_tudwal_desc;A whetstone said to have been owned by King Tudwal Tudglyd of Ystrad Clud, one of the thirteen Treasures of Britain. It is said that a blade sharpened on it would kill any enemy if its user was brave, but draw no blood at all if used by a coward.;;;;;;;;;;;;;x
dish_of_rhygenydd_the_cleric;Dish of Rhygenydd the Cleric;;;;;;;;;;;;;x
