brilliant;Brilliant;Brilliant;Brilliant;;Brilliant;;;;;;;;;x
brilliant_desc;"If you can't dazzle them with brilliance, baffle them with bull." - W.C. Fields;"If you can't dazzle them with brilliance, baffle them with bull." - W.C. Fields;"If you can't dazzle them with brilliance, baffle them with bull." - W.C. Fields;;"If you can't dazzle them with brilliance, baffle them with bull." - W.C. Fields;;;;;;;;;x
smart;Smart;Smart;Smart;;Smart;;;;;;;;;x
smart_desc;"It's not that I'm so smart, it's just that I stay with problems longer." - Albert Einstein;"It's not that I'm so smart, it's just that I stay with problems longer." - Albert Einstein;"It's not that I'm so smart, it's just that I stay with problems longer." - Albert Einstein;;"It's not that I'm so smart, it's just that I stay with problems longer." - Albert Einstein;;;;;;;;;x
bright;Bright;Bright;Bright;;Bright;;;;;;;;;x
bright_desc;"I'm so clever that, sometimes, I don't understand a word of what I am saying." - Oscar Wilde;"I'm so clever that, sometimes, I don't understand a word of what I am saying." - Oscar Wilde;"I'm so clever that, sometimes, I don't understand a word of what I am saying." - Oscar Wilde;;"I'm so clever that, sometimes, I don't understand a word of what I am saying." - Oscar Wilde;;;;;;;;;x
dim;Dim;Dim;Dim;;Dim;;;;;;;;;x
dim_desc;"Common sense is not so common." - Voltaire;"Common sense is not so common." - Voltaire;"Common sense is not so common." - Voltaire;;"Common sense is not so common." - Voltaire;;;;;;;;;;x
dumb;Dumb;Dumb;Dumb;;Dumb;;;;;;;;;x
dumb_desc;"Beauty fades, dumb is forever." - Judy Sheindlin;"Beauty fades, dumb is forever." - Judy Sheindlin;"Beauty fades, dumb is forever." - Judy Sheindlin;;"Beauty fades, dumb is forever." - Judy Sheindlin;;;;;;;;;x
idiot;Idiot;Idiot;Idiot;;Idiot;;;;;;;;;x
idiot_desc;"He may look like an idiot and talk like an idiot, but don't let that fool you. He really is an idiot." - Groucho Marx;"He may look like an idiot and talk like an idiot, but don't let that fool you. He really is an idiot." - Groucho Marx;"He may look like an idiot and talk like an idiot, but don't let that fool you. He really is an idiot." - Groucho Marx;;"He may look like an idiot and talk like an idiot, but don't let that fool you. He really is an idiot." - Groucho Marx;;;;;;;;;x
tough;Tough;Tough;Tough;;Tough;;;;;;;;;x
tough_desc;"When the going gets tough, the tough get going." - Joe Kennedy;"When the going gets tough, the tough get going." - Joe Kennedy;"When the going gets tough, the tough get going." - Joe Kennedy;;"When the going gets tough, the tough get going." - Joe Kennedy;;;;;;;;;x
hardy;Hardy;Hardy;Hardy;;Hardy;;;;;;;;;x
hardy_desc;"That which does not kill us, makes us stronger." - Nietzsche;"That which does not kill us, makes us stronger." - Nietzsche;"That which does not kill us, makes us stronger." - Nietzsche;;"That which does not kill us, makes us stronger." - Nietzsche;;;;;;;;;x
soft;Soft;Soft;Soft;;Soft;;;;;;;;;x
soft_desc;"We pretend to be strong because we are weak." - Paulo Coelho;"We pretend to be strong because we are weak." - Paulo Coelho;"We pretend to be strong because we are weak." - Paulo Coelho;;"We pretend to be strong because we are weak." - Paulo Coelho;;;;;;;;;x
fragile;Fragile;Fragile;;Fragile;;;;;;;;;x
fragile_desc;"Confidence is a very fragile thing."  - Joe Montana;"Confidence is a very fragile thing."  - Joe Montana;"Confidence is a very fragile thing."  - Joe Montana;;"Confidence is a very fragile thing."  - Joe Montana;;;;;;;;;x
beautiful;Beautiful;Beautiful;Beautiful;;Beautiful;;;;;;;;;x
beautiful_desc;"Beauty is eternity gazing at itself in the mirror." - Khalil Gibran;"Beauty is eternity gazing at itself in the mirror." - Khalil Gibran;"Beauty is eternity gazing at itself in the mirror." - Khalil Gibran;;"Beauty is eternity gazing at itself in the mirror." - Khalil Gibran;;;;;;;;;x
pretty;Pretty;Pretty;Pretty;;Pretty;;;;;;;;;x
pretty_desc;"All little girls should be told they are pretty, even if they aren't." - Marilyn Monroe;"All little girls should be told they are pretty, even if they aren't." - Marilyn Monroe;"All little girls should be told they are pretty, even if they aren't." - Marilyn Monroe;;"All little girls should be told they are pretty, even if they aren't." - Marilyn Monroe;;;;;;;;;x
plain;Plain;Plain;Plain;;Plain;;;;;;;;;x
plain_desc;"Plain women know more about men than beautiful women do." - Katharine Hepburn;"Plain women know more about men than beautiful women do." - Katharine Hepburn;"Plain women know more about men than beautiful women do." - Katharine Hepburn;;"Plain women know more about men than beautiful women do." - Katharine Hepburn;;;;;;;;;x
unsightly;Unsightly;Unsightly;Unsightly;;Unsightly;;;;;;;;;x
unsightly_desc;"Beauty is only skin deep, but ugly goes clean to the bone." - Dorothy Parker;"Beauty is only skin deep, but ugly goes clean to the bone." - Dorothy Parker;"Beauty is only skin deep, but ugly goes clean to the bone." - Dorothy Parker;;"Beauty is only skin deep, but ugly goes clean to the bone." - Dorothy Parker;;;;;;;;;x
