big;Big;Big;Big;;Big;;;;;;;;;x
big_desc;"The little people must be sacred to the big ones." - Victor Hugo;"The little people must be sacred to the big ones." - Victor Hugo;"The little people must be sacred to the big ones." - Victor Hugo;;"The little people must be sacred to the big ones." - Victor Hugo;;;;;;;;;x
towering;Towering;Towering;Towering;;Towering;;;;;;;;;x
towering_desc;"You have to do your own growing, no matter how tall your grandfather was." - Abraham Lincoln;"You have to do your own growing, no matter how tall your grandfather was." - Abraham Lincoln;"You have to do your own growing, no matter how tall your grandfather was." - Abraham Lincoln;;"You have to do your own growing, no matter how tall your grandfather was." - Abraham Lincoln;;;;;;;;;x
short;Short;Short;Short;;Short;;;;;;;;;x
short_desc;"I'd rather be tall and normal than a short genius." - Mel Brooks;"I'd rather be tall and normal than a short genius." - Mel Brooks;"I'd rather be tall and normal than a short genius." - Mel Brooks;;"I'd rather be tall and normal than a short genius." - Mel Brooks;;;;;;;;;x
small;Small;Small;Small;;Small;;;;;;;;;x
small_desc;"Many a small thing has been made large by the right kind of advertising." - Mark Twain;"Many a small thing has been made large by the right kind of advertising." - Mark Twain;"Many a small thing has been made large by the right kind of advertising." - Mark Twain;;"Many a small thing has been made large by the right kind of advertising." - Mark Twain;;;;;;;;;x
calm_voice;Soothing Voice;Soothing Voice;Soothing Voice;;Soothing Voice;;;;;;;;x
calm_voice_desc;This character's voice is naturally soothing. While it is neither powerful nor melodious, its mildness can calm even the angriest of people, and slyly persuade even the most skeptical of men.;;;;;;;;;;;;;x
calmish_voice;Calm Voice;Calm Voice;Calm Voice;;Calm Voice;;;;;;;;;x
calmish_voice_desc;"There is no language like the Irish for soothing and quieting.";"There is no language like the Irish for soothing and quieting.";"There is no language like the Irish for soothing and quieting.";;"There is no language like the Irish for soothing and quieting.";;;;;;;;;x
grating_voice;Grating Voice;Grating Voice;Grating Voice;;Grating Voice;;;;;;;;;x
grating_voice_desc;"Their lean and flashy songs/Grate on their scrannel pipes of wretched straw." - John Milton;"Their lean and flashy songs/Grate on their scrannel pipes of wretched straw." - John Milton;"Their lean and flashy songs/Grate on their scrannel pipes of wretched straw." - John Milton;;"Their lean and flashy songs/Grate on their scrannel pipes of wretched straw." - John Milton;;;;;;;;;x
loud_voice;Loud Voice;Loud Voice;Loud Voice;;Loud Voice;;;;;;;;;x
loud_voice_desc;"I did pluck allegiance from men's hearts/Loud shouts and salutations from their mouths" - Shakespeare;loud_voice_desc;"I did pluck allegiance from men's hearts/Loud shouts and salutations from their mouths" - Shakespeare;loud_voice_desc;"I did pluck allegiance from men's hearts/Loud shouts and salutations from their mouths" - Shakespeare;;loud_voice_desc;"I did pluck allegiance from men's hearts/Loud shouts and salutations from their mouths" - Shakespeare;;;;;;;;;x
quiet_voice;Quiet Voice;Quiet Voice;Quiet Voice;;Quiet Voice;;;;;;;;;x
quiet_voice_desc;"Everything becomes a little different, as soon as it is spoken out loud" - Herman Heese;"Everything becomes a little different, as soon as it is spoken out loud" - Herman Heese;"Everything becomes a little different, as soon as it is spoken out loud" - Herman Heese;;"Everything becomes a little different, as soon as it is spoken out loud" - Herman Heese;;;;;;;;;x
nice_voice;Nice Voice;Nice Voice;Nice Voice;;Nice Voice;;;;;;;;;x
nice_voice_desc;"The devil's voice is sweet to hear." - Steven King;"The devil's voice is sweet to hear." - Steven King;"The devil's voice is sweet to hear." - Steven King;;"The devil's voice is sweet to hear." - Steven King;;;;;;;;;x
harsh_voice;Harsh Voice;Harsh Voice;Harsh Voice;;Harsh Voice;;;;;;;;;x
harsh_voice_desc;"Nothing can affect my voice, it's so bad." - Bob Dylan;"Nothing can affect my voice, it's so bad." - Bob Dylan;"Nothing can affect my voice, it's so bad." - Bob Dylan;;"Nothing can affect my voice, it's so bad." - Bob Dylan;;;;;;;;;x
fast;Fast;Fast;Fast;;Fast;;;;;;;;;x
fast_desc;"Skating over thin ice, our safety is in our speed." - Ralph Waldo Emerson;"Skating over thin ice, our safety is in our speed." - Ralph Waldo Emerson;"Skating over thin ice, our safety is in our speed." - Ralph Waldo Emerson;;"Skating over thin ice, our safety is in our speed." - Ralph Waldo Emerson;;;;;;;;;x
nimble;Nimble;Nimble;Nimble;;Nimble;;;;;;;;;x
nimble_desc;"The backbone of surprise is fusing speed with secrecy." - Clauswitz;"The backbone of surprise is fusing speed with secrecy." - Clauswitz;"The backbone of surprise is fusing speed with secrecy." - Clauswitz;;"The backbone of surprise is fusing speed with secrecy." - Clauswitz;;;;;;;;;x
stiff;Stiff;Stiff;Stiff;;Stiff;;;;;;;;;x
stiff_desc;"I have no idea what my body feels like when it's not bruised, sore, or stiff." - Sarah Michelle Gellar;"I have no idea what my body feels like when it's not bruised, sore, or stiff." - Sarah Michelle Gellar;"I have no idea what my body feels like when it's not bruised, sore, or stiff." - Sarah Michelle Gellar;;"I have no idea what my body feels like when it's not bruised, sore, or stiff." - Sarah Michelle Gellar;;;;;;;;;x
clumsy;Clumsy;Clumsy;Clumsy;;Clumsy;;;;;;;;;x
clumsy_desc;"Water's never clumsy." - Matthew McConaughey;"Water's never clumsy." - Matthew McConaughey;"Water's never clumsy." - Matthew McConaughey;;"Water's never clumsy." - Matthew McConaughey;;;;;;;;;x
