briton;Briton;;;;;;;;;;;;;x
celtic;Celtic;;;;;;;;;;;;;x
briton_culture_modifier;Briton Culture;;;;;;;;;;;;;x
briton_FEATURES;§Y*§! Daughters will always get inheritable claims, even under Agnatic succession;;;;;;;;;;;x
romanobritish;Romano-British;;;;;;;;;;;;;x
romanobritish_culture_modifier;Romano-British Culture;;;;;;;;;;;;;x
cumbrian;Cumbric;;;;;;;;;;;;;x
cumbrian_culture_modifier;Cumbric Culture;;;;;;;;;;;;;x
cumbrian_FEATURES;§Y*§! Daughters will always get inheritable claims, even under Agnatic succession;;;;;;;;;;;x
armorican;Armorican;;;;;;;;;;;;;x
armorican_culture_modifier;Armorican Culture;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
breton_culture_modifier;Breton Culture;;;;;;;;;;;;;x
brythonic_subgroup;Brythonic;;;;;;;;;;;;;x				# Custom Localisation
pictish;Pictish;;;;;;;;;;;;;x
pictish_culture_modifier;Pictish Culture;;;;;;;;;;;;;x
pictish_FEATURES;§Y*§! Daughters will always get inheritable claims, even under Agnatic succession;;;;;;;;;;;x
pictish_subgroup;Pictish;;;;;;;;;;;;;x					# Custom Localisation
oldirish;Irish;;;;;;;;;;;;;x
oldirish_culture_modifier;Irish Culture;;;;;;;;;;;;;x
gaelic;Gaelic;;;;;;;;;;;;;x
gaelic_culture_modifier;Gaelic Culture;;;;;;;;;;;;;x
gaelic_subgroup;Gaelic;;;;;;;;;;;;;x					# Custom Localisation

germanic;Germanic;;;;;;;;;;;;;x
anglosaxon;Anglo-Saxon;;;;;;;;;;;;;x
anglosaxon_culture_modifier;Anglo-Saxon Culture;;;;;;;;;;;;;x
oldsaxon;Old Saxon;;;;;;;;;;;;;x
saxon;Saxon;;;;;;;;;;;;;x
oldsaxon_culture_modifier;Saxon Culture;;;;;;;;;;;;;x
jute;Jutish;;;;;;;;;;;;;x
angle;Angle;;;;;;;;;;;;;x
anglian;Anglian;;;;;;;;;;;;;x							# Custom Localisation
oldfrisian;Old Frisian;;;;;;;;;;;;;x
frisian;Frisian;;;;;;;;;;;;;x
frisian_culture_modifier;Frisian Culture;;;;;;;;;;;;;x
ingaveonic_subgroup;Ingvaeonic;;;;;;;;;;;;;x			# Custom Localisation
oldfrankish;Old Frankish;;;;;;;;;;;;;x
oldfrankish_culture_modifier;Frankish Culture;;;;;;;;;;;;;x
frankish;Frankish;;;;;;;;;;;;;x
dutch;Dutch;;;;;;;;;;;;;x
franconian;Franconian;;;;;;;;;;;;;x
istvaeonic_subgroup;Istvaeonic;;;;;;;;;;;;;x			# Custom Localisation
alemannic_custom;Alemannic;;;;;;;;;;;;;x
alemannic;Alemanni;;;;;;;;;;;;;x
oldalemannic;Old Alemanni;;;;;;;;;;;;;x
bavarian;Bavarian;;;;;;;;;;;;;x
oldbavarian;Old Bavarian;;;;;;;;;;;;;x
thuringian;Thuringian;;;;;;;;;;;;;x
oldthuringian;Old Thuringian;;;;;;;;;;;;;x
irminonic_subgroup;Irminonic;;;;;;;;;;;;;x				# Custom Localisation
dane;Norse;;;;;;;;;;;;;x
dane_culture_modifier;Norse Culture;;;;;;;;;;;;;x
proto_norse;Old Norse;;;;;;;;;;;;;x
proto_norse_culture_modifier;Old Norse Culture;;;;;;;;;;;;;x
norse_gael;Norse-Gaelic;;;;;;;;;;;;;x
north_germanic_subgroup;North Germanic;;;;;;;;;;;;;x	# Custom Localisation
visigoth;Visigoth;;;;;;;;;;;;;x
visigothic;Visigothic;;;;;;;;;;;;;x							# Custom Localisation
visigoth_culture_modifier;Visigothic Culture;;;;;;;;;;;;;x
taifal;Taifal;;;;;;;;;;;;;x
ostrogoth;Ostrogoth;;;;;;;;;;;;;x
ostrogothic;Ostrogothic;;;;;;;;;;;;;x							# Custom Localisation
vandal;Vandal;;;;;;;;;;;;;x
burgundian;Burgundian;;;;;;;;;;;;;x
suebic;Suebi;;;;;;;;;;;;;x
suebic_custom;Suebic;;;;;;;;;;;;;x							# Custom Localisation
lombard;Lombard;;;;;;;;;;;;;x
east_germanic_subgroup;East Germanic;;;;;;;;;;;;;x		# Custom Localisation

imperiale;Imperial;;;;;;;;;;;;;x
roman;Roman;;;;;;;;;;;;;x
roman_culture_modifier;Roman Culture;;;;;;;;;;;;;x
romanogallic;Romano-Gallic;;;;;;;;;;;;;x
romanogallic_culture_modifier;Romano-Gallic Culture;;;;;;;;;;;;;x
romanorhaetian;Romano-Rhaetian;;;;;;;;;;;;;x
romanoaquitanian;Romano-Aquitanian;;;;;;;;;;;;;x
romanogermanic;Romano-Germanic;;;;;;;;;;;;;x
romanoscandian;Romano-Scandian;;;;;;;;;;;;;x
romanonumidian;Romano-Numidian;;;;;;;;;;;;;x
romanoafrican;Romano-African;;;;;;;;;;;;;x
romanohispanic;Romano-Hispanic;;;;;;;;;;;;x
romanoillyrian;Romano-Illyrian;;;;;;;;;;;;x
romanosyrian;Romano-Syrian;;;;;;;;;;;;x
romanoegyptian;Romano-Egyptian;;;;;;;;;;;;x
romanothracian;Romano-Thracian;;;;;;;;;;;;x
armenian;Armenian;;;;;;;;;;;;;x
greek;Græco-Roman;;;;;;;;;;;;;x

romance;Romance;;;;;;;;;;;;;x
gallo_burgundian;Gallo-Burgundian;;;;;;;;;;;;;x
french;French;;;;;;;;;;;;;x
arpitan;Arpitan;;;;;;;;;;;;;x
norman;Norman;;;;;;;;;;;;;x

african;African;;;;;;;;;;;;;x
numidian;Numidian;;;;;;;;;;;;;x

sarmatian;Iranian;;;;;;;;;;;;;x
alan;Alan;;;;;;;;;;;;;x
alan_culture_modifier;Alan Culture;;;;;;;;;;;;;x

altaic;Altaic;;;;;;;;;;;;;x
hunnic;Hun;;;;;;;;;;;;;x

hebrew;Hebrew;;;;;;;;;;;;;x

basque;Aquitanian;;;;;;;;;;;;;x
vasconian;Vasconian;;;;;;;;;;;;;x
vasconian_culture_modifier;Vasconian Culture;;;;;;;;;;;;;x
