EVTNAMEHISTORY6;The Saxons;;;;;;;;;;;;;x
EVTDESCHISTORY6;For decades now, Britannia has felt increasing pressure from Pictish and Irish raids, more so since the withdrawal of the Roman legions. Though Macsen Wledic's arrangements of the island's defences helped the situation, we need now to find a more permanent solution. Perhaps we could consider settling Germanic foederati troops near Pictavia, as the Romans once did?;;;;;;;;;;;;;x
EVTOPTAHISTORY6;We'll settle some Saxons in the north.;;;;;;;;;;;;;x
EVTOPTBHISTORY6;This is definitely a good idea.;;;;;;;;;;;;;x
EVTOPTCHISTORY6;Saxons? In Britannia? Never!;;;;;;;;;;;;;x
EVTTOOLTIPHISTORY6A;Saxons will be settled in Caistor and Petuaria.;;;;;;;;;;;;;x
EVTNAMEHISTORY7;Saxons;;;;;;;;;;;;;x
EVTDESCHISTORY7;The High King of Britannia has decreed an increase in settlement of Saxon foederatus troops in our lands in order to protect the island from increasing Pictish and Irish raids. Shall we comply?;;;;;;;;;;;;;x
EVTOPTAHISTORY7;We already have enough Saxons here, thank you.;;;;;;;;;;;;;x
EVTOPTBHISTORY7;The additional foederati will help strengthen our borders.;;;;;;;;;;;;;x
EVTNAMEHISTORY8;Saxon Settlements;;;;;;;;;;;;;x
EVTDESCHISTORY8;We have decided to increase the amount of Saxons foederati in our realm to a sizeable amount. This will help us defend ourselves from Pictish incursions;;;;;;;;;;;;;x
EVTOPTAHISTORY8;There is no way this is a bad idea.;;;;;;;;;;;;;x
EVTOPTAHISTORY8TT;Saxons will be granted the provinces of Casitor and Petuaria.;;;;;;;;;;;;;x
EVTNAMEHISTORY12;Hen Ogledd Refuses;;;;;;;;;;;;;x
EVTDESCHISTORY12;The Governor of Northern Britain has refused our request to settle foederati troops in his lands.;;;;;;;;;;;;;x
EVTOPTAHISTORY12;This is an outrage;;;;;;;;;;;;;x
EVTNAMEHISTORY13;Hen Ogledd Accepts;;;;;;;;;;;;;x
EVTDESCHISTORY13;The Governor of Northern Britain has accepted our request to settle foederati troops in his lands.;;;;;;;;;;;;;x
EVTOPTAHISTORY13;Excellent;;;;;;;;;;;;;x
EVTNAMEHISTORY15;Saxon Settlements;;;;;;;;;;;;;x
EVTDESCHISTORY15;The High King of Britannia has decreed the settlement of foederati troops in our land.;;;;;;;;;;;;;x
EVTOPTAHISTORY15;This will help us.;;;;;;;;;;;;;x
EVTOPTBHISTORY15;No way!;;;;;;;;;;;;;x
EVTNAMEHISTORY16;Ceint Refuses;;;;;;;;;;;;;x
EVTDESCHISTORY16;The Governor of Ceint has refused our request to settle foederati troops in his lands.;;;;;;;;;;;;;x
EVTOPTAHISTORY16;This is an outrage!;;;;;;;;;;;;;x
EVTNAMEHISTORY17;Ceint Accepts;;;;;;;;;;;;;x
EVTDESCHISTORY17;The Governor of Ceint has accepted our request to settle foederati troops in his lands.;;;;;;;;;;;;;x
EVTOPTAHISTORY17;Excellent.;;;;;;;;;;;;;x
EVTNAMEHISTORY18;Saxon Settlements;;;;;;;;;;;;;x
EVTDESCHISTORY18;We have decided to increase the amount of Saxons foederati in our realm to a sizeable amount. This will help us defend ourselves from incursions;;;;;;;;;;;;;x
EVTOPTAHISTORY18;There is no way this is a bad idea.;;;;;;;;;;;;;x
