########## ANGLO-SAXON INVASION EVENTS ##########
### ANGLIAN INVASIONS ###
EVTNAME313000;The Anglian Invasion;;;;;;;;;;;;;x
EVTDESC313000;Longboats full of Anglian settlers are grounding every month on the eastern shores of Britain. The newcomers are hungry and fierce warriors with their wives and children, and they are looking for new lands to call 'home'.\n\nThe Anglian warlords have no choice but to expand their realms to the west, and they are assembling their armies for war. Local British rulers should strengthen their defenses and be ready to fight for their lands.;;;;;;;;;;;;;x 
EVTOPTA313000;Excellent! We shall rule over these lands!;;;;;;;;;;;;;x
EVTOPTB313000;They are dangerous foes...;;;;;;;;;;;;;x
EVTOPTC313000;This is interesting news...;;;;;;;;;;;;;x
EVTNAME313001;The Anglian Invasion;;;;;;;;;;;;;x
EVTDESC313001;Thousands of Germanic settlers keep landing every month on the beaches of the Anglo-Saxon Shore. Anglian rulers will soon raise their armies and march to war once more, determined to conquer new lands for the newcomers and their families.\n\nAnglian scouts have been spotted riding near the town of Latimer and the province of Sleaford. The local British rulers should strengthen their defenses and be ready to fight for their lands.;;;;;;;;;;;;;x
EVTOPTA313001;The Britons will run and hide in their holes!;;;;;;;;;;;;;x
EVTOPTB313001;They are growing too powerful...;;;;;;;;;;;;;x
EVTOPTC313001;This is interesting news...;;;;;;;;;;;;;x
EVTNAME313002;The Anglian Invasion;;;;;;;;;;;;;x
EVTDESC313002;Thousands of Germanic settlers keep landing every month on the beaches of the Anglo-Saxon Shore. Anglian rulers will soon raise their armies and march to war once more, determined to conquer new lands for the newcomers and their families.\n\nAnglian scouts have been spotted riding west into the Chiltern Hills north of the Thames and by the town of Vernemetum near Ratae. The local British rulers should strengthen their defenses and be ready to fight for their lands.;;;;;;;;;;;;;x
EVTOPTA313002;The Britons will run and hide in their holes!;;;;;;;;;;;;;x
EVTOPTB313002;They are growing too powerful...;;;;;;;;;;;;;x
EVTOPTC313002;This is interesting news...;;;;;;;;;;;;;x
EVTNAME313003;The Anglian Invasion;;;;;;;;;;;;;x
EVTDESC313003;Along the eastern shores of Britain hundreds of ships are landing. They are full of Germanic settlers fleeing from their burnt and sacked homelands on the continent. These warriors need food, they need land, they are desperate and dangerous. And they are many.\n\nThe Anglian rulers are calling every warrior to arms, and they will soon march west once more, looking for new lands to conquer.;;;;;;;;;;;;;x
EVTOPTA313003;We will destroy our enemies!;;;;;;;;;;;;;x
EVTOPTB313003;They must be stopped!;;;;;;;;;;;;;x
EVTOPTC313003;This is interesting news...;;;;;;;;;;;;;x
EVTNAME313004;The Anglian Invasion;;;;;;;;;;;;;x
EVTDESC313004;Longboats full of Anglian settlers keep landing on the eastern shores of Britain. The newcomers are hungry and fierce warriors with their wives and children, and they are looking for new lands to call 'home'.\n\nThe Anglian rulers have no choice but to expand their realms to the west, and they are assembling their armies for war.;;;;;;;;;;;;;x 
EVTOPTA313004;Excellent! We will rule over these lands!;;;;;;;;;;;;;x
EVTOPTB313004;We must find a way to stop them!;;;;;;;;;;;;;x
EVTOPTC313004;Interesting news...;;;;;;;;;;;;;x
EVTNAME313005;The Anglian Invasion;;;;;;;;;;;;;x
EVTDESC313005;Thousands of Germanic settlers keep landing on the beaches of the Anglo-Saxon Shore. Anglian rulers will soon raise their armies and march to war once more to conquer new lands for their people.\n\nAnglian scouts have been spotted riding deep into the heart of Britain, towards the city of Lactodorum...;;;;;;;;;;;;;x
EVTOPTA313005;Excellent! We will rule over these lands!;;;;;;;;;;;;;x
EVTOPTB313005;We must find a way to stop them!;;;;;;;;;;;;;x
EVTOPTC313005;This is interesting news...;;;;;;;;;;;;;x
EVTNAME3130050;The Anglian Invasion;;;;;;;;;;;;;x
EVTDESC3130050;Another wave of Germanic settlers has landed on the eastern shores of Britain, full of hungry and fierce warriors desperate for new lands to conquer and settle.\n\nScouts and forward groups have been spotted riding and raiding past the Anglian border, as their armies assemble for war yet again.;;;;;;;;;;;;;x
EVTOPTA3130050;Excellent! We will rule over these lands!;;;;;;;;;;;;;x
EVTOPTB3130050;We must find a way to stop them!;;;;;;;;;;;;;x
EVTOPTC3130050;This is interesting news...;;;;;;;;;;;;;x
### NORTH ANGLE/BERNICIAN INVASION ###
EVTNAME313006;The North Angles;;;;;;;;;;;;;x
EVTDESC313006;Hundreds of longboats full of Germanic settlers are grounding on the northern shores of Britain, not far from the castle of Din Calaigh, in the province of Bryneich. The British kingdoms of the Old North must prepare to defend their lands from these Anglian invaders from across the sea, who are apparently determined to conquer new lands for themselves north of Hadrian's Wall...;;;;;;;;;;;;;x
EVTOPTA313006;We will conquer the North!;;;;;;;;;;;;;x
EVTOPTB313006;Our rule in the British isles grows stronger every year!;;;;;;;;;;;;;x
EVTOPTC313006;They are a serious threat...;;;;;;;;;;;;;x
EVTOPTD313006;This is troubling news...;;;;;;;;;;;;;x
EVTOPTE313006;Where are they? This is MY land!;;;;;;;;;;;;;x
EVTNAME313008;The North Angles;;;;;;;;;;;;;x
EVTDESC313008;Another wave of longboats full of Germanic settlers approaches the northern shores of Britain. They are expected to land near the fortified town of Pons Aelii, in the province of Old Tyne. The British kingdoms of the Old North must prepare to defend their lands once more from these Anglian invaders from across the sea, who are apparently determined to conquer new lands for themselves north of Hadrian's Wall...;;;;;;;;;;;;;x
### SAXON INVASION ###
EVTNAME313020;The Saxon Invasion;;;;;;;;;;;;;x
EVTDESC313020;Longboats full of Germanic settlers keep grounding on the shores of South Seaxe. The newcomers are hungry and fierce warriors with their wives and children, and they are looking for new lands to call 'home'.\n\nThe lords of Dumnonia will soon have to defend their lands from warbands of Saxon invaders determined to conquer and occupy the rich and fertile provinces of southern Britain, in particular the coastal provinces closest to South Seaxe, an area the Anglo-Saxons call "Meonware".;;;;;;;;;;;;;x
EVTOPTA313020;We will conquer these lands!;;;;;;;;;;;;;x
EVTOPTB313020;No, it is not the right time for an invasion.;;;;;;;;;;;;;x
EVTOPTC313020;Our rule in the British isles grows stronger every year!;;;;;;;;;;;;;x
EVTOPTD313020;This is troubling news...;;;;;;;;;;;;;x
EVTOPTE313020;They are a serious threat...;;;;;;;;;;;;;x
EVTDESC3130200;A small fleet of Jutish settlers has arrived in your capital of [Root.Capital.GetName]. Their leader, Port, has asked you for permission to settle his tribesmen in the newly conquered lands of Meonware, promising to swear fealty to your kingdom and help cement your rule over the Romano-British provinces.;;;;;;;;;;;;;x
EVTOPTA3130200;More settlers are always welcome.;;;;;;;;;;;;;x
EVTOPTB3130200;We do not need any pesky Jutes.;;;;;;;;;;;;;x
### WEST SAXON INVASION ###
EVTNAME313021;The West Saxons;;;;;;;;;;;;;x
EVTDESC313021;Hundreds of longboats full of Germanic settlers are landing on the southern shores of Britain in the kingdom of Dumnonia. The British kingdoms of the south must now prepare to defend their lands from these Saxon invaders from across the sea, who are apparently determined to conquer new lands for themselves in the rich lands they call "West Seaxe".;;;;;;;;;;;;;x
EVTDESC313021_1;Germanic settlers pushing out from the Anglo-Saxon settlements on the Thames Valley are pushing south into lands ruled over by the kingdom of Dumnonia. The British kingdoms of the south must now prepare to defend their lands from these new Saxon tribes pushing out from the already settled lands who are apparently determined to conquer new lands for themselves in the rich lands they call "West Seaxe".;;;;;;;;;;;;;x
EVTOPTA313021;Our rule in the British isles grows stronger every year!;;;;;;;;;;;;;x
EVTOPTB313021;They are a serious threat...;;;;;;;;;;;;;x
EVTOPTC313021;This is troubling news...;;;;;;;;;;;;;x
EVTNAME313023;Saxons in [Root.GetName];;;;;;;;;;;;;x
EVTDESC313023;The invading armies of the West Saxons have conquered the province of [Root.GetName], and more and more Germanic settlers arrive by the day.\n\nThe local Britons have abandoned their homes and fled the region, leaving the Anglo-Saxons in full control of the province.;;;;;;;;;;;;;x
EVTOPTA313023;This is interesting news...;;;;;;;;;;;;;x
EVTNAME313025;The West Saxons;;;;;;;;;;;;;x
EVTDESC313025;Another wave of Germanic settlers is approaching the southern shores of Britain in the kingdom of Dumnonia. The British kingdoms of the south must now prepare once more to defend their lands from these Saxon invaders from across the sea, who are apparently determined to conquer new lands for themselves in the rich lands they call "West Seaxe".;;;;;;;;;;;;;x
EVTDESC313025_1;Another wave of Germanic settlers is pushing south from the Anglo-Saxon settlements on the Thames Valley into lands ruled over by the kingdom of Dumnonia. The British kingdoms of the south must now prepare once more to defend their lands from these new Saxon tribes pushing out from the already settled lands who are apparently determined to conquer new lands for themselves in the rich lands they call "West Seaxe".;;;;;;;;;;;;;x
EVTOPTA313025;Our rule in the British isles grows stronger every year!;;;;;;;;;;;;;x
EVTOPTB313025;They are a serious threat...;;;;;;;;;;;;;x
EVTOPTC313025;This is troubling news...;;;;;;;;;;;;;x
### RISE OF LINDSEY ###
EVTNAME313030;Ultimatum to the Britons;;;;;;;;;;;;;x
EVTDESC313030;[Root.Capital.GetName] has been an Anglo-Saxon settlement for many years now, but it remains under the overlordship of the Briton kingdom of [foederati_suzerain.PrimaryTitle.GetName]. However, our strength has been growing as more and more families arrive from the continent, while the Britons struggle to hold back the tide. Perhaps it is time that we establish our own kingdom here?;;;;;;;;;;;;;x
EVTOPTA313030;It is time for the Angles to rule in Lindsey!;;;;;;;;;;;;;x
EVTOPTB313030;No, it would be too risky.;;;;;;;;;;;;;x
EVTNAME313031;Ultimatum from the Angles;;;;;;;;;;;;;x
EVTDESC313031;The Angles settled in [From.Capital.GetName] have sent us an ultimatum, demanding control over the city of Lindum and all of Linnius as a whole. Should we not accept, they have also reminded us that they have many more warriors ready to fight than we do...;;;;;;;;;;;;;x
EVTOPTA313031;We have no choice but to submit.;;;;;;;;;;;;;x
EVTOPTB313031;We will not give up what is rightfully ours!.;;;;;;;;;;;;;x
EVTNAME313032;Rise of Lindesege;;;;;;;;;;;;;x
EVTDESC313032;Recognizing our military superiority, [From.GetTitledName] has accepted our ultimatum and ceded control of the realm over to us. We are now in a position to declare independence and establish our own kingdom of Lindesege, independent from our former British masters.;;;;;;;;;;;;;x
EVTDESC313032_1;The traitorious Angle foederati settled in [Root.Capital.GetName] have deposed you and declared the creation the Kingdom of Lindesege over your old realm of Linnius. The new Anglo-Saxon kingdom has quickly consolidated their control over the area, and have let the Brythonic citizens know that the Angles are the masters now.;;;;;;;;;;;;;x
EVTDESC313032_2;The Angles settled in [Root.Capital.GetName] have deposed the High Lord of Linnius and declared the creation the Kingdom of Lindesege in its place. The new Anglo-Saxon kingdom, having rapidly consolidated their control over the area, refuses to swear fealty to us and could become a real threat in the future...;;;;;;;;;;;;;x
EVTDESC313032_3;The Angles settled in [Root.Capital.GetName] have deposed the High Lord of Linnius and declared the creation the Kingdom of Lindesege in its place. The new Anglo-Saxon kingdom has quickly consolidated their control over the area, and as more settlers from the continent migrate to reinforce and strengthen the kingdom, further oppurtunities for Anglo-Saxon expansion into the weakening British realms of the Midlands are opening up.;;;;;;;;;;;;;x
EVTDESC313032_4;The Angles settled in [Root.Capital.GetName] have deposed the High Lord of Linnius and declared the creation the Kingdom of Lindesege in its place. The new Anglo-Saxon kingdom has quickly consolidated their control over the area, and now has the potential to pose a threat to the neighbouring British realms of Elmet and Ebrauc made newly vulnerable. Meanwhile, other British kingdoms worry about the loyalty of their own foederati - will they be next?;;;;;;;;;;;;;x
EVTOPTA313032;Excellent. Let the rule of the Angles commence!;;;;;;;;;;;;;x
EVTOPTB313032;We will have our revenge...;;;;;;;;;;;;;x
EVTOPTC313032;Cursed barbarians!;;;;;;;;;;;;;x
EVTOPTD313032;Another Angle kingdom rises!;;;;;;;;;;;;;x
EVTOPTE313032;This is extremely concerning...;;;;;;;;;;;;;x
EVTNAME313034;Ultimatum Refused;;;;;;;;;;;;;x
EVTDESC313034;[From.GetTitledName] has refused to accept our ultimatum and has even demanded that we submit and surrender immediately!;;;;;;;;;;;;;x
EVTOPTA313034;We will show the Wælisc who is powerful here!;;;;;;;;;;;;;x
EVTOPTB313034;Very well then. We have no choice.;;;;;;;;;;;;;x
EVTNAME313036;Anglian Foederati Revolt;;;;;;;;;;;;;x
EVTDESC313036;Unwilling to let us take over peacefully, the Britons have unwisely decided to resist our takeover of Linnius, forcing us to take up arms to take what is ours. Once we have defeated the Britons on the field of battle, we will be in a position to assert our dominance over these lands and establish an Angle kingdom of Lindesege here on the coast of the Midlands, independent of British rule or overlordship.;;;;;;;;;;;;;x
EVTDESC313036_1;The foederati Angles have refused to submit and have instead declared war against us, intending to intending to take what they want by force. Their forces are rapidly mobilizing, and it seems that we have a fully fledged foederati revolt on our hands - one that will determine the fate of Linnius...;;;;;;;;;;;;;x
EVTDESC313036_2;Our vassal, [From.GetTitledName], has informed us that the Angles of [From.Capital.GetName] have sent an ultimatum demanding the surrender of the realm. The ultimatum was dismissed, but the Angles have now mobilized against us, and they have now staged a fully fledged foederati revolt, intending to take control over the entirety of Linnius...;;;;;;;;;;;;;x
EVTDESC313036_3;The foederati Angles settled in [From.Capital.GetName] have revolted against the High Lord of Linnius, after an ultimatum demanding the surrender of the realm was refused. War has broken out between the Britons and Angles in Linnius, as the foederati rebel against their masters to establish dominance over the realm. \n\nShould the revolt succeed, this will significantly compromise the British position in the upper Midlands, possibly presenting a possibility for other Anglo-Saxon groups to take advantage...;;;;;;;;;;;;;x
EVTDESC313036_4;The foederati Angles settled in [From.Capital.GetName] have revolted against the High Lord of Linnius, after an ultimatum demanding the surrender of the realm was refused. War has broken out between the Britons and Angles in Linnius, as the foederati rebel against their masters to establish dominance over the realm. \n\nShould the revolt succeed, the fall of Linnius will present a significant setback for the Britons as Elmet and Ebrauc become exposed to Angle raids and invasions, and other British kingdoms are already looking nervously at their own foederati...;;;;;;;;;;;;;x
EVTOPTA313036;We shall be victorious!;;;;;;;;;;;;;x
EVTOPTB313036;To war! We will defend our lands from the barbarians!;;;;;;;;;;;;;x
EVTOPTC313036;The barbarians will not take our lands!;;;;;;;;;;;;;x
EVTOPTD313036;The weakling Wælisc will fall easily... ;;;;;;;;;;;;;x
EVTOPTE313036;Vile barbarians!;;;;;;;;;;;;;x
EVTOPTF313036;Will we be next?;;;;;;;;;;;;;x
EVTNAME313037;Angles Back Down;;;;;;;;;;;;;x
EVTDESC313037;The Angles have backed down on their ultimatum and submitted to your rule. [From.GetTitledName] has surrendered and is now imprisoned in your dungeon, at your mercy.;;;;;;;;;;;;;x
EVTOPTA313037;A wise choice...;;;;;;;;;;;;;x
EVTNAME313038;Rise of Lindesege;;;;;;;;;;;;;x
EVTDESC313038;The Britons have been defeated and we now rule over Lindum, or Lincylene, as the town is now called. With Anglo-Saxons now in control of the area, we are now in a position to create our own kingdom.;;;;;;;;;;;;;x
EVTOPTA313038;The rule of the Angles begins today!;;;;;;;;;;;;;x
EVTNAME313039;Revolt Defeated;;;;;;;;;;;;;x
EVTDESC313039;The Britons have proven to be stronger than we expected and we have been forced to submit to them once more. Now that the Britons are back in control, we are completely at their mercy...;;;;;;;;;;;;;x
EVTOPTA313039;This will only be a temporary setback...;;;;;;;;;;;;;x
EVTNAME313040;Revolt Stalemate;;;;;;;;;;;;;x
EVTDESC313040;The Britons have proven to be stronger than we expected, but they have failed to defeat us on the battlefield either. We have been unable to take control over the region as we wished, but at least now we are no longer under the yoke of the Britons.;;;;;;;;;;;;;x
EVTOPTA313040;One day we will succeed...;;;;;;;;;;;;;x
### ICLINGAS/MERCIAN INVASION ###
EVTNAME313050;The Iclingas;;;;;;;;;;;;;x
EVTDESC313050;The Anglo-Saxon tribes are on the move. Not satisfied with the lands already conquered in Lloeygr, Germanic settlers are pushing out from the existing Anglo-Saxon kingdoms of the east. The British kingdoms of central Britain must now prepare to defend their lands from the tribe of the Iclingas pushing deep into the heart of Britain, seeking to conquer new lands for themselves in the lands they call "Mercia".;;;;;;;;;;;;;x
EVTOPTA313050;Our rule in the British isles grows stronger every year!;;;;;;;;;;;;;x
EVTOPTB313050;They are a serious threat...;;;;;;;;;;;;;x
