EVTDESC301000;As war, disease, and the Anglo-Saxon invasion takes its toll on [Root.GetName] and southern Britannia as a whole, many of its inhabitants have decided to migrate across the British Sea to Armorica in search of a safer place to call home.;;;;;;;;;;;;;x
EVTOPTA301000;May they find a safety and prosperity in their new home.;;;;;;;;;;;;;x
EVTDESC301001;After some years of peace, the population of [Root.GetName] has begun to recover. Feral fields are beginning to be tamed again, nearly-abandoned towns are seeing new signs of life and the province is truly beginning to return to normal.;;;;;;;;;;;;;x
EVTDESC301001_1;After some years of peace, the population of [Root.GetName] has fully recovered from the tumultations of the past. The countryside has been reclaimed, towns are bustling once more and life in the province has returned to normal.;;;;;;;;;;;;;x
EVTOPTA301001;Excellent. May [Root.GetName] prosper once more.;;;;;;;;;;;;;x
EVTDESC301002;As war, disease, and the Anglo-Saxon invasion ravage Britannia, Britons are leaving the island in huge numbers and settling in Armorica. A significant Brythonic settlement has now sprung up in [Root.GetName] as the Britons seek a safer place to call home.;;;;;;;;;;;;;x
EVTDESC301002_1;The Brythonic settlement in [Root.GetName] has ballooned as Britons continue to flee Britannia in huge numbers, crossing the British Sea and settling in our lands. Large numbers of migrants have now settled in [Root.GetName], which is now taking on an increasingly Brythonic character.;;;;;;;;;;;;;x
EVTOPTA301002;They are welcome to settle here.;;;;;;;;;;;;;x
EVTDESC301010;Brythonic settlements, created by centuries of immigration from Britannia, have been bringing the Brythonic language, culture, and religion to [Root.GetName] for many decades. Now, mixing with the Brythonic immigrants settled there, the people of [Root.GetName] are no longer truly Armorican, but now an outpost of Brythonic culture, Breton.;;;;;;;;;;;;;x
EVTOPTA301010;Part of Little Britain now, I suppose.;;;;;;;;;;;;;x
EVTDESC301011;Many of the people in our lands are now using the Breton language, even those that were born and raised here. Now it is time for us to embrace this new identity, neither fully Armorican nor Briton, but the product of the melting pot that now characterizes Armorica - Breton.;;;;;;;;;;;;;x
EVTOPTA301011;We are Breton now.;;;;;;;;;;;;;x
