##### BRITANNIA STORYLINE EVENTS #####
EVTNAME3121000;Return to Dumnonia;;;;;;;;;;;;;x
EVTDESC3121000;Your father, the great Uther Pendragon, King of Dumnonia, has died, leaving your clubfooted infant nephew Mordred as King of Dumnonia. Following on the oaths made in your name, you have returned to Dumnonia to protect the kingdom and your nephew's inheritance from those who would sunder the realm apart. Eagerly received by those who see you as their saviour in this time of strife and uncertainty, you have been appointed Lord of Durnac by the current regent.;;;;;;;;;;;;;x
EVTOPTA3121000;Dumnonia shall not fall!;;;;;;;;;;;;;x
EVTNAME312100;Death of King Uther Pendragon;;;;;;;;;;;;;x
EVTDESC312100;Uther Pendragon, King of Dumnonia, is dead. The only legitimate heir to the throne, Mordred, is a clubfooted child. Upon receiving news of his father's death, Uther's bastard son, Arthur, has returned from the kingdom of Benoic and has been appointed Lord of Durnac by the current regent.;;;;;;;;;;;;;x
EVTOPTA312100;Hail to King Mordred and Lord Arthur!;;;;;;;;;;;;;x
EVTOPTB312100;Let us hope Arthur will drive the Saxons back to the sea!;;;;;;;;;;;;;x
EVTOPTC312100;We will conquer their lands, no matter who is leading them...;;;;;;;;;;;;;x
EVTOPTD312100;This is interesting news...;;;;;;;;;;;;;x
EVTNAME312101;Arthur Returns to Dumnonia;;;;;;;;;;;;;x
EVTDESC312101;Upon receiving news of his father's death, King Uther's bastard son, Arthur, has returned to Dumnonia from the kingdom of Benoic, where he was sent by Uther to assist King Ban in his wars against the Franks. Upon arrival, Arthur has been appointed Lord of Durnac by your current regent.;;;;;;;;;;;;;x
EVTOPTA312101;A loyal vassal... or is he plotting for my throne?;;;;;;;;;;;;;x
EVTDESC312103;With a child on the throne and enemies surrounding it on all sides, Dumnonia has never been in a greater need of a strong ruler. While most people have faith in your ability to administer the kingdom in Mordred's place, many are looking at Arthur, Uther's bastard son, as Dumnonia's only hope in these troubled times. Perhaps it would be better to leave the regency to him?;;;;;;;;;;;;;x
EVTDESC312103_1;With a child on the throne and enemies surrounding it on all sides, Dumnonia has never been in a greater need of a strong ruler. While most people have faith in your ability to administer the kingdom in Mordred's place, many felt that Arthur was a great leader and that he should continue to hold power in the realm. Perhaps it would be better to leave the regency to him?;;;;;;;;;;;;;x
EVTPOTA312103;Arthur would be a much better ruler than I ever could.;;;;;;;;;;;;;x
EVTPOTB312103;We have no need for Arthur. I will stave off the Saxons myself!;;;;;;;;;;;;;x
EVTDESC312104;Recognizing your military prowess and ability to unite the kingdom against the Saxons, [From.GetTitledName] has offered to make you regent of Dumnonia. While Mordred is still technically the king, many hope that you will be able to lead the kingdom against its many enemies and restore its strength and prosperity.;;;;;;;;;;;;;x
EVTDESC312104_1;Recognizing your military prowess and ability to unite the kingdom against the Saxons, [From.GetTitledName] has offered to make you regent of Dumnonia once more. While Mordred is still technically the king, many hope that you will be able once again to lead the kingdom against its many enemies and restore its strength and prosperity.;;;;;;;;;;;;;x
EVTPOTA312104;It is for the good of the kingdom.;;;;;;;;;;;;;x
EVTDESC312105;Your current regent has stepped aside to allow Arthur to become regent of Dumnonia. Known as a great warrior from his campaigns against the Franks and Saxons, Arthur could be key to holding off the Saxons to the east, yet as the son of Uther he has a claim to the throne, and many think that Arthur, not you, should be the king...;;;;;;;;;;;;;x
EVTDESC312105_1;Your current regent has stepped aside to allow Arthur to become regent of Dumnonia once more. Many see him as the realm's saviour and Arthur could indeed be key to holding off the Saxons to the east, yet his claim to the throne could still be problematic...;;;;;;;;;;;;;x
EVTPOTA312105;A great warrior, perhaps, but is he plotting for my throne?;;;;;;;;;;;;;x
EVTDESC312106;The current regent of Dumnonia has stepped aside to allow Arthur to gain control of Dumnonia. Known as a great warrior from his campaigns against the Franks and Saxons, Arthur could be key to holding off the Saxons to the east that seek to conquer our lands. As the son of Uther, he has a claim to the throne, yet he seems to show no ambition to take it from Mordred...;;;;;;;;;;;;;x
EVTDESC312106_1;The current regent of Dumnonia has stepped aside to allow Arthur to retake control of Dumnonia. Many see him as the realm's saviour and Arthur could indeed be key to holding off the Saxons to the east that seek to conquer our lands. As the son of Uther, he has a claim to the throne, yet he seems to continue to show no ambition to take it from Mordred...;;;;;;;;;;;;;x
EVTPOTA312106;Arthur will save us from the Saxons!;;;;;;;;;;;;;x
EVTNAME3121070;The Wolftails;;;;;;;;;;;;;x
EVTDESC3121070;Under the guidance of Merlin and the training of Hywel, Derfel Cadarn has grown to be quite a capable warrior. Honest and loyal, he is devoted to your cause and would make a great general in the fight against [Root.TopLiege.PrimaryTitle.GetName]'s enemies. If we make him a lord of his own band of warriors he could be a useful vassal and ally against the Saxons.;;;;;;;;;;;;;x
EVTOPTA3121070;I will grant him a band of warriors as his own.;;;;;;;;;;;;;x
EVTOPTB3121070;He does not deserve such an honour yet.;;;;;;;;;;;;;x
EVTNAME3121071;The Wolftails;;;;;;;;;;;;;x
EVTDESC3121071;Impressed by your skills as a warrior, [From.GetTitledName] has decided to grant you a band of warriors to call your own. Using the tails of wolves attached to your helmets as an emblem, you have decided to name your new band "The Wolftails", one that will in time surely strike fear into the hearts of Anglo-Saxons everywhere.;;;;;;;;;;;;;x
EVTOPTA3121071;I will serve Arthur loyally and well!;;;;;;;;;;;;;x
EVTNAME3121072;The Wolftails;;;;;;;;;;;;;x
EVTDESC3121072;Your uncle and regent, [From.GetTitledName], has decided to grant the young but skilled Derfel Cadarn his own band of warriors and make him a lord. This new band, which calls itself "The Wolftails", has sworn fealty to you and will fight for you in your wars, but Derfel's true loyalties have always lied with Arthur.;;;;;;;;;;;;;x
EVTDESC3121072_1;Your regent, [From.GetTitledName] has decided to grant young but skilled Derfel Cadarn his own band of warriors and make him a lord. This new band, which calls itself "The Wolftails", has sworn fealty to you and will fight for you in your wars, but Derfel's true loyalties have always lied with Arthur...;;;;;;;;;;;;;x
EVTOPTA3121072;A band of noble warriors... or a tool for Arthur to gain my throne?;;;;;;;;;;;;;x
EVTDESC312108;[d_wolftails.Holder.GetTitledName] has declared that the oaths of fealty [d_wolftails.Holder.GetSheHe] and [d_wolftails.Holder.GetHerHis] warriors once swore have expired, and that the Wolftails will no longer owe fealty to the Kings of Dumnonia. From this day on the Wolftails will be a free company, ready to fight for any British kingdom that will hire them.;;;;;;;;;;;;;x
EVTOPTA312108;A sad day for [Root.PrimaryTitle.GetName].;;;;;;;;;;;;;x
EVTNAME312110;The Rise of Arthur;;;;;;;;;;;;;x
EVTDESC312110;After the death of his father Uther, your friend and patron Arthur returned to Dumnonia to become regent for his young nephew Mordred. In need of experienced warriors to defend the realm against his many enemies, he has invited you and your band of horsemen to join him in Dumnonia to help him fulfill his oath to protect the kingdom.;;;;;;;;;;;;;x
EVTDESC312110_1;After the death of his father Uther, your friend and patron Arthur returned to Dumnonia to become its new king. In need of experienced warriors to defend the realm against his many enemies, he has invited you and your band of horsemen to join him in Dumnonia to help him fulfill his oath to protect the kingdom.;;;;;;;;;;;;;x
EVTOPTA312110;I will join my friend and help him however I can!;;;;;;;;;;;;;x
