EVTDESC451;Young [From.GetTitledFirstName] has caught my attention again. I am starting to think she might fancy me. Her looks and advances get more obvious every day.;;;;;;;;;;;;;x
EVTOPTA451;Tonight, I shall have her.;;;;;;;;;;;;;x
EVTOPTB451;It's not appropriate!;;;;;;;;;;;;;x
EVTOPTC451;I do not desire her. She would better stop.;;;;;;;;;;;;;x
EVTDESC453;After sunset I went to Lady [From.GetFirstName]'s chamber. We spent the whole night together in pleasure and passion.;;;;;;;;;;;;;x
EVTOPTA453;It is good to be the [This.GetTitle].;;;;;;;;;;;;;x
EVTDESC500;[New.GetTitledFirstName] and [From.GetTitledFirstName] have gotten married. Traditions allow us to impose a tribute on the local population to pay for the ceremonies.;;;;;;;;;;;;;x
EVTOPTA500;Yes, traditions are important, and it is everyone's concern.;;;;;;;;;;;;;x
EVTOPTB500;It is not necessary, we can afford this.;;;;;;;;;;;;;x
EVTDESC1010;Today a dangerous situation arose, and quickly became intimidating, with an outcome that could mean life or death. I swallowed hard and chose to...;;;;;;;;;;;;;x
EVTOPTA1010;Run! And live to fight another day...;;;;;;;;;;;;;x
EVTOPTB1010;Stay! Never surrender so easily...;;;;;;;;;;;;;x
EVTDESC1011;It started as an uneasiness around guests and strangers, then evolved into awkwardness and a strong feeling of discomfort.;;;;;;;;;;;;;x
EVTOPTA1011;I really prefer to spend my time alone.;;;;;;;;;;;;;x
EVTOPTB1011;I will have to try and be more friendly!;;;;;;;;;;;;;x
EVTDESC1012;I could strive to become better, but most of the times I could also be satisfied with who I am and what I have.;;;;;;;;;;;;;x
EVTOPTA1012;No, I will never be satisfied. I want more!;;;;;;;;;;;;;x
EVTOPTB1012;Honestly I am quite content with the current state of things.;;;;;;;;;;;;;x
EVTDESC1013;If my opinion ruled, the world would be a more chaotic but fun place. If I keep following the laws, the world would have less chaos but also be less fun.;;;;;;;;;;;;;x
EVTOPTA1013;Let my rule begin!;;;;;;;;;;;;;x
EVTOPTB1013;Justice should always prevail!;;;;;;;;;;;;;x
EVTDESC1014;In the darkest moments I find myself wondering... why is the world filled with such hardships, grief and pain? Is there a higher plan? Or is it just chaos?;;;;;;;;;;;;;x
EVTOPTA1014C;God has a plan for everything and everyone!;;;;;;;;;;;;;x
EVTOPTA1014P;The Gods have a plan. They always do.;;;;;;;;;;;;;x
EVTOPTB1014C;There is no higher justice in this world.;;;;;;;;;;;;;x
EVTOPTB1014P;If the Gods are there, they do not care.;;;;;;;;;;;;;x
EVTDESC3305;Everyone else ran off to chase the alleged thieves who had stolen a valuable golden torque from our hall. Instead of following them, I went to the hall and discovered the torque hidden behind one of the benches...;;;;;;;;;;;;;x
EVTOPTA3305;Am I the only smart person in here?;;;;;;;;;;;;;x
EVTNAME3360;Ancient Burial Grounds;;;;;;;;;;;;;x
EVTDESC3360;While I was riding in the woods with my men, we spotted the entrance to an ancient underground burial site. Before I could say anything, some of the warriors rushed inside and started lifting the heavy tombstones. The smell was unbearable, but they persisted until they discovered a collection of dusty but valuable artifacts...;;;;;;;;;;;;;x
EVTOPTA3360;We need it more than the dead...;;;;;;;;;;;;;x
EVTTOOLTIP3306;[This.GetTitledFirstName] appreciates [Root.GetTitledFirstName]'s cowardice;;;;;;;;;;;;;x
EVTDESC3306;I have had times when the cowardice of [From.GetTitledFirstName] made me doubt [From.GetHerHim]. But the way [From.GetSheHe] handled the situation when everybody else ran in different directions to try and catch a thief made me reevaluate [From.GetTitledFirstName].;;;;;;;;;;;;;x
