EVTDESC55000;The [Root.Culture.GetName] populace in [Root.GetName] has slowly changed its customs over the past few years, and most people have adopted the ways and language of the [Root.Holder.Culture.GetName] culture.;;;;;;;;;;;;;x
EVTOPTA55000;Very well.;;;;;;;;;;;;;x
EVTDESC55001;The [Root.Culture.GetName] populace in [Root.GetName] resents me as a ruler and feels that I am a foreigner, yet I depend on these people to collect my taxes and man my army. This simply will not do. I think it is time to bring some settlers from back home over to help out here.;;;;;;;;;;;;;x
EVTDESC190041;I have started to feel strongly attached to the culture of [Root.Capital.GetName], dressing and speaking almost like a local.;;;;;;;;;;;;;x
EVTOPTA190041;I have become [Root.Capital.Culture.GetName].;;;;;;;;;;;;;x
EVTDESC55002;With the conquest of [Root.GetName] by Germanic tribes, the urbanized culture of the Romans is decaying. Cities are being abandoned, infrastructure is decaying, and the people of the province are moving into the countryside as the tribal system once again takes hold.;;;;;;;;;;;;;x
EVTOPTA55002;Such is the way of our people.;;;;;;;;;;;;;x
EVTDESC55010;After years of foreign rule, the [Root.Culture.GetName] people settled in [Root.GetName] have slowly lost their separate identity and have assimilated into the larger [Root.GetLocalRomanCulture] culture.;;;;;;;;;;;;;x
EVTDESC55010_1;After years of Roman rule, the [Root.Culture.GetName] people settled in [Root.GetName] have slowly lost their separate identity and have assimilated into the larger [Root.GetLocalRomanCulture] culture.;;;;;;;;;;;;;x
EVTOPTA55010;Very well then.;;;;;;;;;;;;;x
EVTDESC55011;After years of Celtic rule, the [Root.Culture.GetName] people settled in [Root.GetName] have slowly lost their separate identity and have assimilated into the larger Armorican culture.;;;;;;;;;;;;;x
EVTDESC55011_1;After years of Celtic rule, the [Root.Culture.GetName] people settled in [Root.GetName] have slowly lost their separate identity and have assimilated into the larger Breton culture.;;;;;;;;;;;;;x
EVTOPTA55011;Very well then.;;;;;;;;;;;;;x
EVTDESC55012;After years of Roman rule, the [Root.Culture.GetName] people settled in [Root.GetName] have slowly lost their separate identity and have assimilated into the larger Romano-British culture.;;;;;;;;;;;;;x
EVTOPTA55012;Very well then.;;;;;;;;;;;;;x
EVTDESC55013;After years of foreign rule, the [Root.Culture.GetName] people settled in [Root.GetName] have slowly lost their separate Celtic identity and have assimilated into the larger Romano-Gallic culture.;;;;;;;;;;;;;x
EVTOPTA55013;Very well then.;;;;;;;;;;;;;x
EVTDESC55014;After years of Roman rule, the [Root.Culture.GetName] people settled in [Root.GetName] have slowly lost their separate identity and have assimilated into the larger Romano-Germanic culture.;;;;;;;;;;;;;x
EVTOPTA55014;Very well then.;;;;;;;;;;;;;x
EVTDESC55020;With the fall of the Romanized cities of Lloegyr, the Roman way of life is fading away in Cymry as well. The Latin tongue is slowly disappearing from the towns of [Root.GetName] as the Romans of the region assimilate into the larger Briton culture.;;;;;;;;;;;;;x
EVTOPTA55020;The legacy of Rome is fading away...;;;;;;;;;;;;;x
EVTDESC55021;With the fall of the Romanized cities of Lloegyr, the Roman way of life is fading away in Cymry as well. The Latin tongue has largely disappeared from the capital of [Root.Capital.GetName] and while you still proudly hold to your Roman heritage it can no longer be denied that we are not really Romans anymore.;;;;;;;;;;;;;x
EVTOPTA55021;The legacy of Rome is fading away...;;;;;;;;;;;;;x
EVTDESC55030;Our people came to Britannia as a mix a different peoples, tribes of Angles, Saxons, Jutes and Frisians alike crossing the German Sea to settle on the island we have made ours. As our people settled, they mixed together, blurring the lines between the tribes while forming a distinct culture from our cousins on the continent. Now, the people of [Root.GetName] cannot be said to be purely [Root.Culture.GetName], but something else - Anglo-Saxon.;;;;;;;;;;;;;x
EVTOPTA55030;A new nation is being built.;;;;;;;;;;;;;x
EVTDESC55031;While we were once divided into Angles, Saxons, Jutes and Frisians, the people of our lands have been mixing together, blurring the lines between our tribes while forming a distinct, seperate culture from our cousins across the German Sea. It is time to adopt this new identity, as not just merely [Root.Culture.GetName], but Anglo-Saxon.;;;;;;;;;;;;;x
EVTOPTA55031;Our tribes will become one.;;;;;;;;;;;;;x
EVTDESC55035;A new culture and identity is brewing in coastal marshes south of the German Sea, as the various Germanic settlers of the area mix and interact. The people of [Root.GetName] have now begun to refer to themselves as 'Frisians', in imitation of the old Frisii tribe of the area, as the idea of a Frisian tribe and nation begins to take hold.;;;;;;;;;;;;;x
EVTOPTA55035;An interesting development.;;;;;;;;;;;;;x
EVTDESC55036;We have been settled in [Root.Capital.GetName] for many years now, in the lands left abandoned by the ancient tribe of the Frisii, and the lines between between the many settlers from the north and east have become increasingly blurred. Now, the idea of a new Frisian people has slowly taken hold in your lands and court, and it is time to embrace this new identity.;;;;;;;;;;;;;x
EVTOPTA55036;Frisians reborn!;;;;;;;;;;;;;x
EVTDESC55040;Influence from the Franks to the south and the solidification of the Frisian identity has caused a distinct shift in the culture of [Root.GetName]. The Frisian culture and tongue have continued to develop, and have now become more distinct from their Saxon cousins to the east and their Anglo-Saxon brothers in Britannia.;;;;;;;;;;;;;x
EVTOPTA55040;Interesting news.;;;;;;;;;;;;;x
EVTDESC55041;You are beginning to notice a shift in the Frisian identity of your lands and court. No longer just one of many Ingvaeonic peoples along the German Sea, we are now embracing a stronger, more distinct Frisian culture and identity.;;;;;;;;;;;;;x
EVTOPTA55041;A new kind of Frisian.;;;;;;;;;;;;;x
EVTDESC55042;The influence of the Franks to the west, the Norse to the North, and the Irminonic peoples to the south is causing a cultural shift in [Root.GetName]. A more distinctive Saxon culture is developing in the region, and the Saxons are becoming increasingly divergent from their Ingvaeonic cousins to the west.;;;;;;;;;;;;;x
EVTOPTA55042;Interesting news.;;;;;;;;;;;;;x
EVTDESC55043;The speech and culture of the Frisians to the west and our brothers in Britannia no longer seem as similar and familiar as they once were. As the Saxon culture of your lands become increasingly divergent, no longer just one of many Ingvaeonic peoples, we are now embracing a stronger, more distinct Saxon culture and identity.;;;;;;;;;;;;;x
EVTOPTA55043;A new kind of Saxon.;;;;;;;;;;;;;x
EVTDESC55044;A particular change is occuring in the Alemannic culture and language of [Root.GetName], as part of a general shift among all of the Irminonic peoples. A more distinctive Alemannic identity is emerging in the region, increasingly divergent from their Germanic cousins to the north.;;;;;;;;;;;;;x
EVTOPTA55044;Interesting news.;;;;;;;;;;;;;x
EVTDESC55045;As the Alemannic culture and language of our population shifts, the speech of our court has seen a gradual evolution as well. We would do well to embrace this development of the Alemannic identity and culture.;;;;;;;;;;;;;x
EVTOPTA55045;A new kind of Alemanni.;;;;;;;;;;;;;x
EVTDESC55046;A particular change is occuring in the Thuringian culture and language of [Root.GetName], as part of a general shift among all of the Irminonic peoples. A more distinctive Thuringian identity is emerging in the region, increasingly divergent from their Germanic cousins to the north.;;;;;;;;;;;;;x
EVTOPTA55046;Interesting news.;;;;;;;;;;;;;x
EVTDESC55047;As the Thuringian culture and language of our population shifts, the speech of our court has seen a gradual evolution as well. We would do well to embrace this development of the Thuringian identity and culture.;;;;;;;;;;;;;x
EVTOPTA55047;A new kind of Thuringian.;;;;;;;;;;;;;x
EVTDESC55048;A particular change is occuring in the Bavarian culture and language of [Root.GetName], as part of a general shift among all of the Irminonic peoples. A more distinctive Bavarian identity is emerging in the region, increasingly divergent from their Germanic cousins to the north.;;;;;;;;;;;;;x
EVTOPTA55048;Interesting news.;;;;;;;;;;;;;x
EVTDESC55049;As the Bavarian culture and language of our population shifts, the speech of our court has seen a gradual evolution as well. We would do well to embrace this development of the Bavarian identity and culture.;;;;;;;;;;;;;x
EVTOPTA55049;A new kind of Bavarian.;;;;;;;;;;;;;x
EVTDESC55050;Centuries of contact with the Romans of Gaul have not left the Frankish language and culture untouched. The people of [Root.GetName] have begun to adopt some of the more civilized customs of the Romans, and their language no longer sounds so harshly Germanic.;;;;;;;;;;;;;x
EVTOPTA55050;Interesting news.;;;;;;;;;;;;;x
EVTDESC55051;The embrace of the Roman language and customs in your court and administration has produced a gradual, marked change in your culture. Still Frankish, for sure, but now something quite different from your ancestors.;;;;;;;;;;;;;x
EVTOPTA55051;We are still Franks, but civilized ones.;;;;;;;;;;;;;x
EVTDESC55055;The lowlands near the mouth of the Rhenus river have long been a crossroads where empires and cultures meet. In the county of [Root.GetName] a new identity now seems to be appearing. They no longer consider themselves Frankish, but Dutch.;;;;;;;;;;;;;x
EVTOPTA55055;Interesting news.;;;;;;;;;;;;;x
