EVTNAME313197;The House of West Seaxe;;;;;;;;;;;;;x
EVTDESC313197;After gaining independence from the neighbouring Anglo-Saxon realms, [Root.GetTitledName] has proclaimed the foundation of the 'House of West Seaxe'. This noble house shall be recognized as distinct from any other ruling dynasty, and [Root.GetTitledFirstName] and [Root.GetPossPronoun] offspring will no longer refer to former relatives as kin.;;;;;;;;;;;;;x
EVTOPTA313197;Glory to the House of West Seaxe!;;;;;;;;;;;;;x
EVTOPTB313197;This is interesting news...;;;;;;;;;;;;;x
EVTNAME313198;The House of Mercia;;;;;;;;;;;;;x
EVTDESC313198;After gaining independence from the neighbouring Anglo-Saxon realms, [Root.GetTitledName] has proclaimed the foundation of the 'House of Mercia'. This noble house shall be recognized as distinct from any other ruling dynasty, and [Root.GetTitledFirstName] and [Root.GetPossPronoun] offspring will no longer refer to former relatives as kin.;;;;;;;;;;;;;x
EVTOPTA313198;Glory to the House of Mercia!;;;;;;;;;;;;;x
EVTOPTB313198;This is interesting news...;;;;;;;;;;;;;x
EVTNAME313199;The House of East Seaxe;;;;;;;;;;;;;x
EVTDESC313199;After gaining independence from the neighbouring Anglo-Saxon realms, [Root.GetTitledName] has proclaimed the foundation of the 'House of East Seaxe'. This noble house shall be recognized as distinct from any other ruling dynasty, and [Root.GetTitledFirstName] and [Root.GetPossPronoun] offspring will no longer refer to former relatives as kin.;;;;;;;;;;;;;x
EVTOPTA313199;Glory to the House of East Seaxe!;;;;;;;;;;;;;x
EVTOPTB313199;This is interesting news...;;;;;;;;;;;;;x
