INSULT_FLUENTGREEK;oriental-tongued;;;;;;;;;;;;;x
INSULT_FLUENTGREEKFEM;forked-tongue harpy;;;;;;;;;;;;;x
COMPL_FLUENTGREEK;many wiled;COMPL_FLUENTGREEK;;;;;;;;;;;;;x
COMPL_FLUENTGREEKFEM;learned;;;;;;;;;;;;;x
hellenophone_trait;Hellenophone;;;;;;;;;;;;;x
hellenophone_trait_desc;This character has at least a reasonable grasp of Greek, a rare and prestigious talent in the Latin West.;;;;;;;;;;;;;x
INSULT_BARBARIAN;unwashed barbarian;;;;;;;;;;;;;x
INSULT_BARBARIANFEM;barbarous whore;;;;;;;;;;;;;x
COMPL_BARBARIAN;noble savage;;;;;;;;;;;;;x
COMPL_BARBARIANFEM;savage maiden;;;;;;;;;;;;;x
barbarian_trait;Barbarian;;;;;;;;;;;;;x
barbarian_trait_desc;This character is an avowed enemy of Roman-folk and the desert that they call peace.;;;;;;;;;;;;;x
romanitas_trait;Romanitas;;;;;;;;;;;;;x
romanitas_trait_desc;This character is more sympathetic to traditional Roman values and customs than is typical.;;;;;;;;;;;;;x
INSULT_ROMANITAS;child of Brutus;;;;;;;;;;;;;x
INSULT_ROMANITASFEM;Tiber-born shame;;;;;;;;;;;;;x
COMPL_ROMANITAS;learned Roman;;;;;;;;;;;;;x
COMPL_ROMANITASFEM;Roman matron;;;;;;;;;;;;;x
#################
EVTDESCROMANFLAVOR1A;While dining with some acquaintances the conversation turns towards the slow breakdown in civic life. The remaining few decurions on the city council have apparently been failing to maintain the theatre. After the dinner ends one of your courtiers beseechs you to help preserve the civic life of  [Root.Capital.GetName].;;;;;;;;;;;;;x
EVTDESCROMANFLAVOR1B;As you stroll down the main thoroughfare in [Root.Capital.GetName] there is suddenly a frenzy of activity. A local indigent beggar charges through your line of guards and kisses your feet in an effort to get his petition heard. He claims that due to poor upkeep the town baths are permanently closed which means he has nowhere warm to sleep at night.;;;;;;;;;;;;;x
EVTDESCROMANFLAVOR1C;While watching a group of barbarians being put to death for stealing marble from the dilapidated amphitheatre, you suddenly feel an overwhelming feeling of sadness. How did the building fall into such disrepair?;;;;;;;;;;;;;x
EVTDESCROMANFLAVOR1D;As your entourage canters down the old Roman road, a lone mile marker catches your eye. It is from the reign of Vespasian himself, though Time has long since blanketed it with weeds. You pause briefly, the ephemerality of human existence weighing heavily on your mind.;;;;;;;;;;;;;x
EVTOPTAROMANFLAVOR1;This is an affront to Roman honor. Something must be done.;;;;;;;;;;;;;x
EVTOPTBROMANFLAVOR1;We have no right to squander the gifts granted by our forefathers. We rebuild.;;;;;;;;;;;;;x
EVTOPTCROMANFLAVOR1;We should make structures from human flesh in future!;;;;;;;;;;;;;x
EVTOPTDROMANFLAVOR1;Such confused times we live in.;;;;;;;;;;;;;x
EVTDESCROMANFLAVOR2;While walking through the forum with an escort of buccelarii, you hear frenzied shouting from down the street. A beer-sodden barbarian is charging straight towards you with his hand outstretched. "Orders, dominus!?" shouts one of your guards.;;;;;;;;;;;;;x
EVTOPTAROMANFLAVOR2;This is clearly just a misunderstanding. Lower the weapons.;;;;;;;;;;;;;x
EVTOPTBROMANFLAVOR2;He's gone savage. Put him down.;;;;;;;;;;;;;x
EVTOPTCROMANFLAVOR2;Run away!;;;;;;;;;;;;;x
EVTDESCROMANFLAVOR3;The man comes to a stop in front of the guardsmen, suddenly becoming aware of his manic appearance. He apologises profusely, explaining that he was merely soliciting gold in his native tongue. He offers you his service.;;;;;;;;;;;;;x
EVTOPTAROMANFLAVOR3;There's plenty of gold in my employ, amicus. Come.;;;;;;;;;;;;;x
