EVTDESC900_pagan;The people in [Root.Location.GetName], or, at least, most of them, have embraced the [Root.Location.GetDefaultPaganReligion] faith!;;;;;;;;;;;;;x
EVTDESC20000;My liege, I am pleased to report the success of my mission to [From.Location.GetName]. The majority of the population have been converted to the [From.Location.Religion.GetName] faith!\nYour humble [Root.GetLordSpiritualName]\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESC20001;The province of §Y[From.Location.GetName]§! has been converted to the §Y[From.Location..Religion.GetName]§! faith.;;;;;;;;;;;;;x
EVTDESC901_pagan;Due to my tireless efforts, a humble subject in [Root.Location.GetName] has embraced the [converted_character.GetDefaultPaganReligion] faith!;;;;;;;;;;;;;x
EVTTOOLTIP20010_pagan;[This.GetTitledName] embraces the [This.GetDefaultPaganReligion] faith;;;;;;;;;;;;;x
EVTDESC20010_pagan;The [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has strongly influenced me and I have decided to convert to the [Root.GetDefaultPaganReligion] faith!;;;;;;;;;;;;;x
EVTOPTA20010_pagan;I will truly embrace [Root.GetDefaultPaganReligion];;;;;;;;;;;;;x
action_settle_tribe;Settle Tribe;;;;;;;;;;;;;x
action_settle_tribe_desc;Assign your [GetTreasurerName] to settle members of your tribe in the county, founding new settlements and revitalizing depopulated areas, as well as increasing the chance that its culture will change to §Y[Culture.GetName]§!.;;;;;;;;;;;;;x
EVTNAME925;Settlements Founded;;;;;;;;;;;;;x
EVTDESC925;My efforts to settle our tribesmen in [Root.Location.GetName] have met with success! My liege will surely be pleased by these new settlements!;;;;;;;;;;;;;x
EVTOPTA925;[Root.Location.GetName] shall grow and prosper.;;;;;;;;;;;;;x
EVTDESC20205;My [Root.GetTreasurerName], [From.GetTitledFirstName], is pleased to report that [From.Location.GetName] has been settled with many good [Root.Culture.GetName] families. These new settlements will surely bring prosperity to the province.;;;;;;;;;;;;;x
EVTOPTA20205;Excellent.;;;;;;;;;;;;;x
action_sponsor_bards;Sponsor Bards;;;;;;;;;;;;;x
action_sponsor_bards_desc;Assign your [GetChancellorName] to commission bards to sing praises of your deeds and glorify your reign.;;;;;;;;;;;;;x
EVTNAME302200;Bard Composes Great Epic;;;;;;;;;;;;;x
EVTDESC302200;Your efforts to sponsor new poems and songs about your liege seem to have worked! It seems that one of the bards you are sponsoring has composed a great new epic about your liege, which has rapidly become popular and is inspiring all sorts of new admiration in [Root.Liege.GetTitledFirstName] and [Root.Liege.GetTitledHerHis] rule.;;;;;;;;;;;;;x
EVTOPTA302200;[Root.Liege.GetTitledFirstName] will surely be pleased.;;;;;;;;;;;;;x
EVTTOOLTIP302201;[Root.Liege.GetTitledFirstName] is told of this great work being sung about [Root.Liege.GetHerHim].;;;;;;;;;;;;;x
EVTNAME302201;Bard Composes Great Epic;;;;;;;;;;;;;x
EVTDESC302201;It seems that your [Root.GetChancellorName]'s work in sponsoring bards has paid off! One particularly prominent bard has apparently composed a great epic detailing the glorious deeds of you and your ancestors, and is now singing the praises of your rule all around the realm and beyond.;;;;;;;;;;;;;x
EVTOPTA302201;After all, there is a lot to sing about.;;;;;;;;;;;;;x
EVTNAME302210;Bards Mock the Ruler;;;;;;;;;;;;;x
EVTDESC302210;It seems that you haven't been paying close enough attention to what songs and poems you have been commissioning exactly. Some of the bards you have sponsored don't seem to be singing about how [Root.Liege.GetTitledFirstName] is a great and glorious ruler... quite the opposite, in fact...;;;;;;;;;;;;;x
EVTOPTA302210;It can't be that bad... can it?;;;;;;;;;;;;;x
EVTTOOLTIP302211;[Root.Liege.GetTitledFirstName] will not be pleased...;;;;;;;;;;;;;x
EVTNAME302211;Mocked by Bards;;;;;;;;;;;;;x
EVTDESC302211;Recently you have noticed a certain amount of stifled smiling and sniggering every time you walk somewhere. Now you know why - apparently some of the bards your [Root.GetChancellorName] has been sponsoring have been mocking and singing some particularly biting satires about you!;;;;;;;;;;;;;x
EVTOPTA302211;The nerve! [From.GetTitledFirstName] will answer for this!;;;;;;;;;;;;x
JOB_PROSELYTIZE_OTHER_PAGAN_RELIGION;Proselytize: §YProvince is already pagan.§!;;;;;;;;;;;;x
JOB_PROSELYTIZE_TO_OTHER_PAGAN_RELIGION;Proselytize: §GProvince can be converted. Will be converted to: §!§Y[Root.GetDefaultPaganReligion]§! §GCurrent religion: §!§Y[Root.Religion.GetName]§!;;;;;;;;;;;;x
