EVTDESC670;The ancient [Root.Religion.GetName] religion is proving unable to withstand the relentless onslaught of Christianity. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;;;;;;;;;;;;;x
string_reformed_religion_peaceful;The ancient [Root.Religion.GetName] religion is proving unable to withstand the relentless onslaught of Christianity. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith in order to ensure a safe and prosperous future for their people.;;;;;;;;;;;;;x
string_reformed_religion_warlike;The ancient [Root.Religion.GetName] religion is proving unable to withstand the relentless onslaught of Christianity. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith in order to turn the tides and lead the assault against the new religions.;;;;;;;;;;;;;x
string_reformed_religion_defensive;The ancient [Root.Religion.GetName] religion is proving unable to withstand the relentless onslaught of Christianity. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith in order to defend its followers from infidel invaders.;;;;;;;;;;;;;x
string_reformed_religion_proselytizing;The ancient [Root.Religion.GetName] religion is proving unable to withstand the relentless onslaught of Christianity. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith in order to ensure the spread of the worship of the old gods to the four corners of the world.;;;;;;;;;;;;;x
string_reformed_religion_dogmatic;The ancient [Root.Religion.GetName] religion is proving unable to withstand the relentless onslaught of Christianity. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith in order to ensure the preservation of their ancient customs.;;;;;;;;;;;;;x
string_reformed_religion_cosmopolitan;The ancient [Root.Religion.GetName] religion is proving unable to withstand the relentless onslaught of Christianity. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith in order to ensure the coexistence of their religion with its new neighbors.;;;;;;;;;;;;;x
string_reformed_religion_celtic;TODO;;;;;;;;;;;;;x
string_reformed_religion_alan;TODO;;;;;;;;;;;;;x
string_reformed_religion_vasconic;TODO;;;;;;;;;;;;;x
EVTNAME902;Heathens Attack the [Root.Liege.GetLordSpiritualName];;;;;;;;;;;;;x
EVTDESC902;Heathens, aggravated by my preachings in [Root.Location.GetName], are breaking into my room, screaming curses!;;;;;;;;;;;;;x
EVTOPTA902;Will I escape with my life?;;;;;;;;;;;;;x
EVTOPTA20010;I will truly embrace the [From.Religion.GetName] religion!;;;;;;;;;;;;;;x
EVTTOOLTIP20020;[Root.GetTitledName] gets away;;;;;;;;;;;;;x
EVTTOOLTIP20021;[Root.GetTitledName] gets wounded;;;;;;;;;;;;;x
EVTDESC20020;I managed to flee from the angry misbelievers by escaping through the backdoor.;;;;;;;;;;;;;x
EVTOPTA20020;My prestige however did not go unscathed by the incident...;;;;;;;;;;;;;x
EVTDESC20021;I did manage to survive the heathens attacking me, but the incident has left me severely wounded.;;;;;;;;;;;;;x
EVTOPTA20021;I was lucky to survive...;;;;;;;;;;;;;x
EVTOPTB20021;They must be converted or put to the sword!;;;;;;;;;;;;;x
EVTTOOLTIP20022;I must send a letter to inform my liege;;;;;;;;;;;;;x
EVTDESC20022;My liege, a group of violent misbelievers attacked me while I was trying to spread our faith in [From.Location.GetName]. I barely escaped with my life and am now severely wounded.;;;;;;;;;;;;;x
EVTOPTA20022;This is troubling news...;;;;;;;;;;;;;x
EVTDESC20023;[Root.GetTitledName], [From.GetTitledName] was killed by a group of violent misbelievers while trying to spread your faith in [From.Location.GetName].;;;;;;;;;;;;;x
EVTOPTA20023;This is terrible news!;;;;;;;;;;;;;x
EVTDESC20038;News of unrest in [From.Location.GetName]! The [Root.GetLordSpiritualName] of [From.Liege.PrimaryTitle.GetName] has been trying to root out our religion and convert the population, but the peasants have been resisting and are now arming themselves.;;;;;;;;;;;;;x
EVTDESC39000;The people in the province of [Root.GetName] have embraced the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA39000;This is troubling news...;;;;;;;;;;;;;x
EVTOPTB39000;This is excellent news!;;;;;;;;;;;;;x
EVTDESC39001;The religious beliefs of the [Root.Religion.GetName] have spread to the province of [Root.GetName]. Most of the local population has embraced this faith.;;;;;;;;;;;;;x
EVTOPTA39001;This ugly weed must be rooted out!;;;;;;;;;;;;;x
EVTOPTB39001;This is excellent news!;;;;;;;;;;;;;x
EVTOPTC39001;Let them worship whatever God they prefer.;;;;;;;;;;;;;x
EVTDESC39020;My faith is strong and I am itching to spread the good word to my friends...;;;;;;;;;;;;;x
EVTOPTA39020;Attempt to convert a friend;;;;;;;;;;;;;x
EVTTOOLTIP39021;Privately approach [This.GetTitledFirstName];;;;;;;;;;;;;x
EVTDESC39021;My [GetFromRelation], [From.GetTitledFirstName], is attempting to convert me to [From.GetPossPronoun] faith...;;;;;;;;;;;;;x
EVTOPTA39021;I shall embrace this new religion!;;;;;;;;;;;;;x
EVTOPTB39021;Demand that [From.GetSubjectPronoun] abandon [From.GetPossPronoun] misbeliefs!;;;;;;;;;;;;;x
EVTOPTC39021;Guards! Throw [From.GetObjectPronoun] in a cage!;;;;;;;;;;;;;x
EVTOPTD39021;Diplomatically reject [From.GetPossPronoun] arguments.;;;;;;;;;;;;;x
EVTDESC39022;My dear [GetFromRelation] [From.GetFirstName] accepted the conversion!;;;;;;;;;;;;;x
EVTOPTA39022;Praise be!;;;;;;;;;;;;;x
EVTNAME39100;The Arian Papacy;;;;;;;;;;;;;x
