EVTNAME312120;Death of Julius Nepos;;;;;;;;;;;;;x
EVTDESC312120;Julius Nepos, the current de jure Emperor of the Western Roman Empire, has been murdered by members of his own military in Dalmatia. Some say the murder was ordered by Odoacer, head of the Germanic Foederati in Italy and de facto ruler of the Italian peninsula since 476 AD.\n\nWith the death of Julius Nepos, the last serious legal claim to the Western Roman Empire belongs now to the ruling Syagrii dynasty of Soissons.\n\nBefore aspiring to reclaim the imperial title, however, the Roman rulers in northern Gaul will have to deal with the increasingly hostile warbands of the Franks, seeking to expand their control to the west.;;;;;;;;;;;;;x
EVTOPTA312120;I... am the rightful heir to the Western Roman Empire...;;;;;;;;;;;;;x
EVTOPTB312120;These lands will be restored to Roman rule once more.;;;;;;;;;;;;;x
EVTOPTC312120;This is interesting news...;;;;;;;;;;;;;x
EVTNAME314190;The Reconquest of Benoic;;;;;;;;;;;;;x
EVTDESC314190;The lands that once formed the kingdom of Benoic in northern Gaul have been conquered by the Romans and restored to Roman rule once more.\n\nTo celebrate this victory over the rebellious Armoricans, it has been proclaimed that from this day on the old Romano-Gallic civitates of the region will be restored, and will become part and vassal of the Domain of Soissons. Any previous claim or birthright will no longer be recognized, and the new Roman rulers will be once more considered the only rightful lieges of these lands.;;;;;;;;;;;;;x
EVTDESC314190_1;The lands that once formed the kingdom of Benoic in northern Gaul have been conquered by the Romans and restored to Roman rule once more.\n\nTo celebrate this victory over the rebellious Armoricans, it has been proclaimed that from this day on the old Romano-Gallic civitates of the region will be restored and brought back under the control of the province of Lugdunesis Secunda. Any previous claim or birthright will no longer be recognized, and the new Roman rulers will be once more considered the only rightful lieges of these lands.;;;;;;;;;;;;;x
EVTOPTA314190;May it never suffer the cruel touch of barbarians again.;;;;;;;;;;;;;x
EVTOPTB314190;This is interesting news...;;;;;;;;;;;;;x
EVTOPTC314190;This is unacceptable!;;;;;;;;;;;;;x
EVTNAME314191;The Reconquest of Broceliande;;;;;;;;;;;;;x
EVTDESC314191;The lands that once formed the kingdom of Broceliande in the northwest of Armorica have been conquered by the Romans and restored to Roman rule once more.\n\nTo celebrate this victory over the rebellious Armoricans, it has been proclaimed that from this day on the old Romano-Gallic civitates of the region will be restored, and will become part and vassal of the Domain of Soissons. Any previous claim or birthright will no longer be recognized, and the new Roman rulers will be once more considered the only rightful lieges of these lands.;;;;;;;;;;;;;x
EVTDESC314191_1;The lands that once formed the kingdom of Broceliande in the northwest of Armorica have been conquered by the Romans and restored to Roman rule once more.\n\nTo celebrate this victory over the rebellious Armoricans, it has been proclaimed that from this day on the old Romano-Gallic civitates of the region will be restored and brought back under the control of the province of Lugdunesis Tertia. Any previous claim or birthright will no longer be recognized, and the new Roman rulers will be once more considered the only rightful lieges of these lands.;;;;;;;;;;;;;x
EVTOPTA314191;May it never suffer the cruel touch of barbarians again.;;;;;;;;;;;;;x
EVTOPTB314191;This is interesting news...;;;;;;;;;;;;;x
