EVTDESC302401;An old noble man, famed for his knowledge and wisdom, arrives at your court. You spend a long time together in deep conversation, discussing about the essence of power and kingship. At the end of the day, you feel enlightened.;;;;;;;;;;;;;x
EVTOPTA302401;Knowledge is the only real key of power.;;;;;;;;;;;;;x
EVTOPTB302401;There can be no real power without strenght... and fear!;;;;;;;;;;;;;x
EVTDESC302402;Today an old historian from [Root.Location.GetName] told you an interesting tale about the great Julius Caesar. His political and military exploits are always inspiring...;;;;;;;;;;;;;x
EVTOPTA302402;A pity his diplomacy skill was inferior to mine.;;;;;;;;;;;;;x
EVTOPTB302402;Veni, Vidi, Vici!;;;;;;;;;;;;;x
EVTDESC302403;An old traveller from the south, famed for his wisdom and knowledge, arrives at your court. You spend a long time together in deep conversation, discussing about the greatest rulers of history. At the end of the day, you feel enlightened.;;;;;;;;;;;;;x
EVTOPTA302403;Diplomacy is the real trade of a great ruler.;;;;;;;;;;;;;x
EVTOPTB302403;Any ruler should be a valorous warrior first!;;;;;;;;;;;;;x
EVTOPTC302403;History is made through information... and manipulation.;;;;;;;;;;;;;x
EVTOPTD302403;This world is driven by gold. Just gold.;;;;;;;;;;;;;x
EVTDESC302404;Today you decided to go and talk to the farmers and commoners of [Root.Location.GetName]. There is always something to learn from the people...\n...or maybe not, after all?;;;;;;;;;;;;;x
EVTOPTA302404;Probably not. But at least I heard rumours...;;;;;;;;;;;;;x
EVTOPTB302404;The way they store crops for the winter is clever, indeed.;;;;;;;;;;;;;x
EVTDESC302405;While you are walking across the town square, a beggar latches on to you. He claims to be an old friend of your father, now fallen into poverty and destitution.;;;;;;;;;;;;;x
EVTOPTA302405;Guards! Get rid of this dog!;;;;;;;;;;;;;x
EVTOPTB302405;The world is cruel and unforgiving...;;;;;;;;;;;;;x
EVTDESC302406;An old noble man descending from an ancient Roman patrician family visits your court. He delights you with tales of ancient Rome, about Cicero and clever patrician intrigues.;;;;;;;;;;;;;x
EVTOPTA302406;I am a better diplomat than Cicero himself.;;;;;;;;;;;;;x
EVTOPTB302406;The tales about patrician intrigues taught me something...;;;;;;;;;;;;;x
EVTDESC302407;A wise old noble man descending from an ancient Roman patrician family visits your court. He lectures you on the history of the ancient Roman Republic, its administration and political system.;;;;;;;;;;;;;x
EVTOPTA302407;The Republic set a model for administration.;;;;;;;;;;;;;x
EVTOPTB302407;But intrigues brought the Republic down...;;;;;;;;;;;;;x
EVTDESC302408;An arrogant courtier keeps interrupting you when you speak. You have already warned him about it... twice. But apparently he can not help himself.;;;;;;;;;;;;;x
EVTOPTA302408;Enough! Cut off his tongue and feed it to the dogs!;;;;;;;;;;;;;x
EVTOPTB302408;Well, let him speak... again.;;;;;;;;;;;;;x
