EVTNAME414101;Eorldom of Lindesege;;;;;;;;;;;;;;x
EVTDESC414101;The lands that formed the Anglian Eorldom of Lindesege have been reconquered from the Anglo-Saxons that once claimed the region for themselves.\n\nFrom this day on, the provinces around the former provincial capital of Lindum will once again belong 'de jure' to the High Lordship of Linnius and to the kingdom of Elmet. Any previous claim or birthright from the former Germanic rulers will no longer be recognized.;;;;;;;;;;;;;;x
EVTOPTA414101;This is interesting news...;;;;;;;;;;;;;;x
EVTOPTB414101;This is troubling news...;;;;;;;;;;;;;;x
EVTNAME414102;Eorldom of Pegansæte;;;;;;;;;;;;;;x
EVTDESC414102;The wooden hills of central Britain that formed the Eorldom of Pegansæte have been reconquered from the Anglo-Saxons that once claimed the region for themselves.\n\nFrom this day on, the lands that make up most of the High Lordship of the Peak, as well as the provinces of Segelocum and Scarsdale, will once again belong 'de jure' to their ancient high lordships and kingdoms. Any previous claim or birthright from the former Germanic rulers will no longer be recognized.;;;;;;;;;;;;;;x
EVTOPTA414102;This is interesting news...;;;;;;;;;;;;;;x
EVTOPTB414102;This is troubling news...;;;;;;;;;;;;;;x
EVTNAME4141020;Eorldom of Middil Engle;;;;;;;;;;;;;;x
EVTDESC4141020;The lands that formed the Eorldom of Middil Engle have been reconquered from the Anglo-Saxons that once claimed the region for themselves.\n\nFrom this day on, the provinces in the heart of Britain, including the city of Ratae, will once again belong 'de jure' to their ancient high lordships and kingdoms. Any previous claim or birthright from the former Germanic rulers will no longer be recognized.;;;;;;;;;;;;;;x
EVTOPTA4141020;This is interesting news...;;;;;;;;;;;;;;x
EVTOPTB4141020;This is troubling news...;;;;;;;;;;;;;;x
EVTNAME4141021;Eorldom of Wrocensæte;;;;;;;;;;;;;;x
EVTDESC4141021;The lands that formed the Eorldom of Wrocensæte have been reconquered from the Anglo-Saxons that once claimed the region for themselves.\n\nFrom this day on, the provinces around the cities of Deva and Viroconium will once again belong 'de jure' to their ancient high lordships and kingdoms. Any previous claim or birthright from the former Germanic rulers will no longer be recognized.;;;;;;;;;;;;;;x
EVTOPTA4141021;This is interesting news...;;;;;;;;;;;;;;x
EVTOPTB4141021;This is troubling news...;;;;;;;;;;;;;;x
EVTNAME4141022;Eorldom of Tomsæte;;;;;;;;;;;;;;x
EVTDESC4141022;The wooden hills of central Britain that formed the Eorldom of Tomsæte have been reconquered from the Anglo-Saxons that once claimed the region for themselves.\n\nFrom this day on, the provinces that make up the entire forest of Arden, including the city of Letocetum, will once again belong 'de jure' to the High Lordship of Luitcoyt under the Kingdom of Powys. Any previous claim or birthright from the former Germanic rulers will no longer be recognized.;;;;;;;;;;;;;;x
EVTOPTA4141022;This is interesting news...;;;;;;;;;;;;;;x
EVTOPTB4141022;This is troubling news...;;;;;;;;;;;;;;x
EVTNAME414103;Eorldom of Magonsæte;;;;;;;;;;;;;;x
