##### ANGLO-SAXONS #####
EVTNAME314101;Eorldom of Lindesege;;;;;;;;;;;;;;x
EVTDESC314101;The Anglo-Saxon rulers of central Britain have created the 'Eorldom of Lindesege' in the lands that once formed the High Lordship of Linnius.\n\nFrom this day on, the provinces around the former provincial capital of Lindum will belong 'de jure' to the newly formed Anglian Eorldom. Any previous claim or birthright will no longer be recognized, and the new Anglian rulers will be considered the only rightful lieges of these lands.;;;;;;;;;;;;;;x
EVTOPTA314101;This is interesting news...;;;;;;;;;;;;;;x
EVTNAME314102;Eorldom of Pegansæte;;;;;;;;;;;;;;x
EVTDESC314102;The Anglo-Saxon rulers of central Britain have created the 'Eorldom of Pegansæte' in the lands that once formed much of the southern parts of the Kingdoms of Elmet and The Pennines.\n\nFrom this day on, the lands that make up most of the High Lordship of the Peak, as well as the provinces of Segelocum and Scarsdale, will belong 'de jure' to the newly formed Anglo-Saxon Eorldom. Any previous claim or birthright will no longer be recognized, and the new rulers will be considered the only rightful lieges of these lands.;;;;;;;;;;;;;;x
EVTOPTA314102;This is interesting news...;;;;;;;;;;;;;;x
EVTNAME3141020;Eorldom of Middil Engle;;;;;;;;;;;;;;x
EVTDESC3141020;The Anglo-Saxon rulers of central Britain have created the 'Eorldom of Middil Engle' in the lands that once formed the British High Lordships of Lerion and Stronggore.\n\nFrom this day on, several provinces in the heart of Britain, including the city of Ratae, will belong 'de jure' to the newly formed Anglo-Saxon Eorldom. Any previous claim or birthright will no longer be recognized, and the new rulers will be considered the only rightful lieges of these lands.;;;;;;;;;;;;;;x
EVTOPTA3141020;This is interesting news...;;;;;;;;;;;;;;x
EVTNAME3141021;Eorldom of Wrocensæte;;;;;;;;;;;;;;x
EVTDESC3141021;The Anglo-Saxon rulers of central Britain have created the 'Eorldom of Wrocensæte' in the lands that once formed eastern Gwynedd and the city of Viroconium.\n\nFrom this day on, the provinces that once formed the High Lordship of Dogfeilion, as well as the former Roman city of Viroconium will belong 'de jure' to the newly formed Anglo-Saxon Eorldom. Any previous claim or birthright will no longer be recognized, and the new rulers will be considered the only rightful lieges of these lands.;;;;;;;;;;;;;;x
EVTOPTA3141021;This is interesting news...;;;;;;;;;;;;;;x
EVTNAME3141022;Eorldom of Tomsæte;;;;;;;;;;;;;;x
EVTDESC3141022;The Anglo-Saxon rulers of central Britain have created the 'Eorldom of Tomsæte' in the lands that once formed much of eastern Powys.\n\nFrom this day on, the provinces that make up the entire forest of Arden, including the city of Letocetum, will belong 'de jure' to the newly formed Anglo-Saxon Eorldom. Any previous claim or birthright will no longer be recognized, and the new rulers will be considered the only rightful lieges of these lands.;;;;;;;;;;;;;;x
EVTOPTA3141022;This is interesting news...;;;;;;;;;;;;;;x
EVTNAME314103;Eorldom of Magonsæte;;;;;;;;;;;;;;x
EVTDESC314103;The Anglo-Saxon rulers of central Britain have created the 'Eorldom of Magonsæte' in their lands to the west of the Severn river.\n\nFrom this day on, several provinces that were formerly part of the British kingdoms of Powys and Gwent will belong 'de jure' to the newly formed Anglo-Saxon Eorldom. Any previous claim or birthright will no longer be recognized, and the new rulers will be considered the only rightful lieges of these lands.;;;;;;;;;;;;;;x
