action_divine;Divine;;;;;;;;;;;;;x
action_divine_desc;Send your [GetLordSpiritualName] to divine and interpret omens in a province.;;;;;;;;;;;;;x
action_tutor_children;Tutor Children;;;;;;;;;;;;;x
action_tutor_children_desc;Task your councillor with educating your children. How your children respond depends on the skills and traits of the tutor.;;;;;;;;;;;;;x
EVTNAME312900;Child is Progressing;;;;;;;;;;;;;x
EVTDESC312900;One of your liege's children is responding well to your instruction.;;;;;;;;;;;;;x
EVTOPTA312900;They are doing well...;;;;;;;;;;;;;x
EVTDESC312901;My liege, one of your children is responding very well to my tuition. They have improved their skills and are advancing in knowledge everyday.\n\nYour humble servant,\n[Root.job_spiritual.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA312901;Good news!;;;;;;;;;;;;;x
EVTNAME312902;Uncooperative Child;;;;;;;;;;;;;x
EVTDESC312902;One of your liege's children is most uncooperative and is not responding well to your instruction.;;;;;;;;;;;;;x
EVTOPTA312902;Foolish child;Enfant idiot;;;Maldito niño;;;;;;;;;x;
EVTDESC312903;My liege, one of your children is most uncooperative and is not responding very well to my tuition. They don't seem to listen and their skills have regressed if anything.\n\nYour humble servant,\n[Root.job_spiritual.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA312903;Foolish child!;;;;;;;;;;;;;x
action_rel_authority;Dignify Religion;;;;;;;;;;;;;x
action_rel_authority_desc;Have your [GetLordSpiritualName] lead a religious delegation to discuss matters of the faith with philosophers from all the known world. The gathering will increase our religion's authority and reduce the influence of heresies and other faiths.;;;;;;;;;;;;;x
EVTNAME312312;Council of Theologists Summoned;;;;;;;;;;;;;x
EVTDESC312312;A great council of theologists and philosophers has assembled in [Root.Location.GetName] to discuss matters of the faith under your guidance. The gathering will strenghten the authority of the [Root.Religion.GetName] religion and reduce the influence of heresies and other faiths.;;;;;;;;;;;;;x
EVTOPTA312312;Excellent!;;;;;;;;;;;;;x
EVTTOOLTIP3123131;your liege is informed about the council.;;;;;;;;;;;;;x
EVTDESC3123131;A great council of theologists and philosophers has assembled in [Root.job_spiritual.Location.GetName] to discuss matters of the faith under the guidance of [Root.job_spiritual.GetTitledName]. The gathering has significantly increased the authority of the [Root.Religion.GetName] religion and reduced the influence of other faiths.;;;;;;;;;;;;;x
EVTOPTA3123131;This is excellent news!;;;;;;;;;;;;;x
