##### COUNCIL LAWS #####
succession_voting_power_desc;The Council's authority in regards to the right of holding office.;;;;;;;;;;;;x
succession_voting_power_0_desc;The ruler has full authority over the choice of who sits on the council.;;;;;;;;;;;;x
succession_voting_power_1_desc;The Council's authority reaches its peak, with the ruler unable to fire council members at will.;;;;;;;;;;;;x
succession_voting_power_1_effect_tooltip;§YPowerful Vassals§! cannot be fired from the §YCouncil§!;;;;;;;;;;;;x
succession_voting_power_0_effect_tooltip;§YPowerful Vassals§! can be fired from the §YCouncil§!;;;;;;;;;;;;x
##### CROWN LAWS #####
investiture_law;Investiture;;;;;;;;;;;;x
investiture_law_desc;This law determines who appoints landed priests and bishops - the secular liege or the religious authorities.;;;;;;;;;;;;x
investiture_law_0;Papal Investiture;;;;;;;;;;;;x
investiture_law_0_option;Papal;;;;;;;;;;;;x
investiture_law_0_desc;Only the Pope may appoint Bishops within the Realm. This will give the Crown a §G50%§! Piety cost discount when requesting special papal actions, like Divorce and Excommunication.;;;;;;;;;;;;x
investiture_law_1;Free Investiture;;;;;;;;;;;;x
investiture_law_1_option;Free;;;;;;;;;;;;x
investiture_law_1_desc;Landed priests within the kingdom can be appointed by their secular lieges, and will be more loyal to their liege than to the head of their religion.;;;;;;;;;;;;x
crown_city_charters_only;Charta Civitates;;;;;;;;;;;;x
crown_city_charters_only_desc;Towns and cities within the Kingdom can only be vassals of the King.;;;;;;;;;;;;x
crown_authority;Crown Authority;;;;;;;;;;;;x
crown_authority_desc;Ancient kings and emperors fought a constant battle with their vassals over privileges, rights and obligations. The lords, naturally, tended to favor a weak central power...;;;;;;;;;;;;x
crown_authority_0;Autonomous Vassals;;;;;;;;;;;;x
crown_authority_0_option;Min;;;;;;;;;;;;x
crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.;;;;;;;;;;;;x
crown_authority_1;Limited Crown Authority;;;;;;;;;;;;x
crown_authority_1_option;Low;;;;;;;;;;;;x
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.;;;;;;;;;;;;x
crown_authority_2;Medium Crown Authority;;;;;;;;;;;;x
crown_authority_2_option;Medium;;;;;;;;;;;;x
crown_authority_2_desc;The powers of the nobility and the monarch are in precarious balance. Vassals can no longer wage private wars within the realm.;;;;;;;;;;;;x
crown_authority_3;High Crown Authority;;;;;;;;;;;;x
crown_authority_3_option;High;;;;;;;;;;;;x
crown_authority_3_desc;The monarch has curbed the rights of the high nobility, relying instead on a budding bureaucracy led by the lesser nobility.;;;;;;;;;;;;x
crown_authority_4;Absolute Crown Authority;;;;;;;;;;;;x
crown_authority_4_option;Max;;;;;;;;;;;;x
crown_authority_4_desc;The lords of the realm are chafing under the unrestricted powers of an absolute monarch.;;;;;;;;;;;;x
realm_peace_law;Realm Peace;;;;;;;;;;;;x
realm_peace_law_desc;These laws govern the ability of vassals to fight their own individual wars against each other and outside realms.;;;;;;;;;;;;x
realm_peace_law_0;No Realm Peace;;;;;;;;;;;;x
realm_peace_law_0_option;None;;;;;;;;;;;;x
realm_peace_law_0_desc;Vassals are allowed to wage war against other vassals in the realm, as well as against foreign realms.;;;;;;;;;;;;x
realm_peace_law_1;Internal Realm Peace;;;;;;;;;;;;x
realm_peace_law_1_option;Internal;;;;;;;;;;;;x
realm_peace_law_1_desc;Vassals are not allowed to wage war against other vassals, but can declare war on foreign realms.;;;;;;;;;;;;x
realm_peace_law_2;Total Realm Peace;;;;;;;;;;;;x
realm_peace_law_2_option;Total;;;;;;;;;;;;x
realm_peace_law_2_desc;Vassals are completely restricted from declaring war.;;;;;;;;;;;;x
##### DEMESNE LAWS #####
centralization_0_desc;The realm is entirely decentralized, and can effectively handle many vassals.\nVassal Limit: [This.GetCentralization0VassalLimit];;;;;;;;;;;;x
centralization_1_desc;The realm is somewhat decentralized, and can effectively handle several vassals.\nVassal Limit: [This.GetCentralization1VassalLimit];;;;;;;;;;;;x
centralization_2_desc;The realm is neither centralized nor decentralized, a balance between effective handling of vassals and a powerful demesne for the top liege.;;;;;;;;;;;;x
centralization_3_desc;The realm is somewhat centralized, and allows a big demesne for the top liege.\nVassal Limit: [This.GetCentralization3VassalLimit];;;;;;;;;;;;x
centralization_4_desc;The realm is entirely centralized, and allows a much bigger demesne for the top liege.\nVassal Limit: [This.GetCentralization4VassalLimit];;;;;;;;;;;;x
centralization0;Centralization Modifier;;;;;;;;;;;;x
centralization0_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization1;Centralization Modifier;;;;;;;;;;;;x
centralization1_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization2;Centralization Modifier;;;;;;;;;;;;x
centralization2_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization3;Centralization Modifier;;;;;;;;;;;;x
centralization3_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization4;Centralization Modifier;;;;;;;;;;;;x
centralization4_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization0_l;Centralization Modifier;;;;;;;;;;;;x
centralization0_l_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization1_l;Centralization Modifier;;;;;;;;;;;;x
centralization1_l_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization2_l;Centralization Modifier;;;;;;;;;;;;x
centralization2_l_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization3_l;Centralization Modifier;;;;;;;;;;;;x
centralization3_l_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization4_l;Centralization Modifier;;;;;;;;;;;;x
centralization4_l_desc;Centralization modifiers are applied here.;;;;;;;;;;;;x
centralization0_small;Min;;;;;;;;;;;;x
centralization0_small_desc;The realm is entirely decentralized, and can effectively handle many vassals.;;;;;;;;;;;;x
centralization1_small;Low;;;;;;;;;;;;x
centralization1_small_desc;The realm is somewhat decentralized, and can effectively handle several vassals.;;;;;;;;;;;;x
centralization2_small;Medium;;;;;;;;;;;;x
centralization2_small_desc;The realm is neither centralized nor decentralized, a balance between effective handling of vassals and a powerful demesne for the top liege.;;;;;;;;;;;;x
centralization3_small;High;;;;;;;;;;;;x
centralization3_small_desc;The realm is somewhat centralized, and allows a big demesne for the top liege.;;;;;;;;;;;;x
centralization4_small;Max;;;;;;;;;;;;x
centralization4_small_desc;The realm is entirely centralized, and allows a much bigger demesne for the top liege.;;;;;;;;;;;;x
centralization0_large;Min;;;;;;;;;;;;x
centralization0_large_desc;The realm is entirely decentralized, and can effectively handle many vassals.;;;;;;;;;;;;x
centralization1_large;Low;;;;;;;;;;;;x
centralization1_large_desc;The realm is somewhat decentralized, and can effectively handle several vassals.;;;;;;;;;;;;x
centralization2_large;Medium;;;;;;;;;;;;x
centralization2_large_desc;The realm is neither centralized nor decentralized, a balance between effective handling of vassals and a powerful demesne for the top liege.;;;;;;;;;;;;x
centralization3_large;High;;;;;;;;;;;;x
centralization3_large_desc;The realm is somewhat centralized, and allows a big demesne for the top liege.;;;;;;;;;;;;x
centralization4_large;Max;;;;;;;;;;;;x
centralization4_large_desc;The realm is entirely centralized, and allows a much bigger demesne for the top liege.;;;;;;;;;;;;x
ze_administration_laws_1;Romanized Administration;;;;;;;;;;;;x
ze_administration_laws_1_option;Romanized;;;;;;;;;;;;x
ze_administration_laws_1_desc;While not a fully fledged imperial, bureaucratic system, Romanized realms retain the concept of the realm as a proper state rather than the more personal feudal system. Romanized realms are more centralized and tend to have greater control over their vassals, as well as a system of inheritance that transfers the state or administration in full.;;;;;;;;;;;;x
tribal_organization_0;Minimum Tribal Organization;;;;;;;;;;;;x
tribal_organization_0_option;Min;;;;;;;;;;;;x
