obj_become_independent_title;Become Independent;;;;;;;;;;;;;x
obj_become_independent_desc;[This.GetTitledFirstName] desires independence from [This.GetHerHis] liege.;;;;;;;;;;;;;x
obj_find_lover_title;Fall in Love;;;;;;;;;;;;;x
obj_find_lover_desc;[This.GetTitledFirstName] desires romance and passion.;;;;;;;;;;;;;x
obj_befriend_liege_title;Become a Friend to your Liege;;;;;;;;;;;;;x
obj_befriend_liege_desc;[This.GetTitledFirstName] desires to befried [This.GetHerHis] liege.;;;;;;;;;;;;;x
obj_win_the_war_title;Win the war;;;;;;;;;;;;;x
obj_win_the_war_desc;[This.GetTitledFirstName] desires to win the war.;;;;;;;;;;;;;x
won_the_war;I won the war!;;;;;;;;;;;;;x
won_the_war_desc;This character has recently won a war.;;;;;;;;;;;;;x
obj_become_a_formidable_fighter_title;Become a formidable fighter;;;;;;;;;;;;;x
obj_become_a_formidable_fighter_desc;[This.GetTitledFirstName] desires to become a formidable fighter.;;;;;;;;;;;;;x
obj_reign_20_years_title;Reign for 20 Years;;;;;;;;;;;;;x
obj_reign_20_years_desc;[This.GetTitledFirstName] yearns to rule for twenty years.;;;;;;;;;;;;;x
obj_peace_10_year_title;Reign in Peace for 10 Years;;;;;;;;;;;;;x
obj_peace_10_year_desc;[This.GetTitledFirstName] desires ten years of peace for his realm.;;;;;;;;;;;;;x
10_years_peace_TT;Has ruled in peace for §Y10§! years.;;;;;;;;;;;;;x
obj_lead_troops_title;Lead Troops in Battle;;;;;;;;;;;;;x
obj_lead_troops_desc;[This.GetTitledFirstName] wants to prove his worth on the battlefield.;;;;;;;;;;;;;x
obj_great_council_title;Gather Great Councillors;;;;;;;;;;;;;x
obj_great_council_desc;[This.GetTitledFirstName] wants to unite the greatest minds in the known world, and have them serve on [This.GetHerHis] council.;;;;;;;;;;;;;x
obj_improve_intrigue_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Intrigue, since it is poor (lower than §Y10§!).;;;;;;;;;;;;;x
obj_improve_diplomacy_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Diplomacy, since it is poor (lower than §Y10§!).;;;;;;;;;;;;;x
obj_improve_learning_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Learning, since it is poor (lower than §Y10§!).;;;;;;;;;;;;;x
obj_improve_stewardship_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Stewardship, since it is poor (lower than §Y10§!).;;;;;;;;;;;;;x
obj_improve_martial_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Martial ability, since it is poor (lower than §Y10§!).;;;;;;;;;;;;;x
obj_strengthen_religion_desc;[This.GetTitledFirstName] wants to see the authority of the §Y[Root.Religion.GetName]§! Religion strengthened, as it is currently below §Y30%§!.;;;;;;;;;;;;;x
tooltip_obj_strengthen_religion;To complete the ambition you need to perform §Y3§! of the following tasks:\n §Y*§! Construct a Temple\n §Y*§! Convert a Province to [This.Religion.GetName]\n §Y*§! Hold a Council of Theologists\nNote that you can complete the same task multiple times.\n\nTasks currently completed: §G[This.strengthen_religion.GetValue]§!;;;;;;;;;;;;;x
obj_become_druid_title;Become Druid;;;;;;;;;;;;;x
obj_become_druid_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] learning and become a druid.;;;;;;;;;;;;;x
obj_become_high_king_title;Become High [Root.GetKingQueen] of [This.Capital.Empire.GetName];;;;;;;;;;;;;x
obj_become_high_king_desc;[This.GetTitledFirstName] wants to become High [Root.GetKingQueen] of [This.Capital.Empire.GetName]. If tribal, this allows the unlimited use of the Subjugation Casus Belli against all other tribal rulers of the same culture group inside the high kingdom.;;;;;;;;;;;;;x
obj_become_high_king_tip;Is [Root.GetKingQueen] of [This.Capital.Empire.GetName];;;;;;;;;;;;;x
faction_overthrow;Overthrow [From.Liege.GetTitle];;;;;;;;;;;;;x
faction_overthrow_title;Overthrow [From.Liege.GetTitle];;;;;;;;;;;;;x
faction_overthrow_desc;Members desire §Y[From.GetBestName]§! as the new [From.Liege.GetTitle] of the §Y[This.GetFullName]§!. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!;;;;;;;;;;;;;x
faction_overthrow_ultimatum;Overthrow [Root.Liege.GetTitle];;;;;;;;;;;;;x
faction_overthrow_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding [Root.Liege.GetHerHim] to step down from the throne and install you as the new [Root.Liege.GetTitle]. If [Root.Liege.GetSubjectPronoun] refuses to comply, your faction will rise in revolt.;;;;;;;;;;;;;x
plot_weaken_fellow_vassal_short;Plot for a new ruler of [This.GetBaseName];;;;;;;;;;;;;x
