plot_embezzle_from_liege_title;Steal from Liege;;;;;;;;;;;;;x
plot_embezzle_from_liege_short;Steal from Liege;;;;;;;;;;;;;x
plot_embezzle_from_liege_desc;[From.GetTitledFirstName] wants to help [From.GetHerHim]self to an adequate reward for [From.GetHerHis] service to [This.GetTitledFirstName].;;;;;;;;;;;;;x
plot_embezzle_from_liege_tooltip;Has not been stolen from recently;;;;;;;;;;;;;x
CUSTOMTOOLTIP30;[From.GetTitledFirstName] successfully steals money from [This.GetTitledName]\n;;;;;;;;;;;;;x
CUSTOMTOOLTIP33;the plot succeeds;;;;;;;;;;;;;x
CUSTOMTOOLTIP34;the plot fails but is not discovered;;;;;;;;;;;;;x
CUSTOMTOOLTIP35;the plot fails and is discovered;;;;;;;;;;;;;x
EVTDESC1007020;The tithes and taxes for [Root.Liege.GetTitledFirstName] are on their way to [Root.Liege.GetHerHis] castle. Our men have bribed the guards not to notice if a chest or two should go 'missing'. Everything is ready for the robbery to proceed.;;;;;;;;;;;;;x
EVTOPTA1007020;We will all be rich!;;;;;;;;;;;;;x
EVTOPTB1007020;Wait for a better opportunity...;;;;;;;;;;;;;x
EVTDESC1007021;The taxes and tithes due to me arrived at the castle today and were placed in the treasury. As I was inspecting the chests full of gold, it struck me that there seemed to be fewer of them than what had arrived earlier. A quick check of the treasurer's accounts revealed my worst fears...;;;;;;;;;;;;;x
EVTOPTA1007021;I have been robbed!;;;;;;;;;;;;;x
EVTDESC1007022;As the taxes were being hauled into the treasury, several large chests full of gold made their way onto the back of a wagon which left the castle unnoticed. The gold is now safely locked away in my treasury and my co-conspirators have all received their share.;;;;;;;;;;;;;x
EVTOPTA1007022;Everything went as planned!;;;;;;;;;;;;;x
EVTDESC1007023;I have received my share of the money embezzled by [From.GetTitledFirstName] from [From.Liege.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTA1007023;Excellent!;;;;;;;;;;;;;x
EVTDESC1007027;The taxes and tithes due to me arrived at the castle today. As I was watching the money being carried into the treasury, I noticed some shadowy figures trying to make off with several chests. I had my guards seize them, and under questioning they revealed to be in the employ of [From.GetTitledFirstName]. What shall be done with my thieving vassal?;;;;;;;;;;;;;x
EVTOPTA1007027;Imprison [From.GetTitledFirstName] immediately.;;;;;;;;;;;;;x
EVTOPTB1007027;Take [From.GetHerHis] head off!;;;;;;;;;;;;;x
EVTOPTC1007027;I shall be merciful. [From.GetTitledFirstName] is forgiven.;;;;;;;;;;;;;x
EVTDESC1007028;As the taxes were being hauled into the treasury, my men tried to make off with several chests of gold but were spotted by [From.GetTitledFirstName], who had come out to inspect the process [From.GetHerHim]self. Under questioning they revealed to myself to be in my employ, and now [From.GetTitledFirstName] knows that I attempted to rob [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTA1007028;Retribution is sure to come...;;;;;;;;;;;;;x
