monastic_order_culdees;[GetCuldeesSocietyName];;;;;;;;x
monastic_order_culdees_desc;[GetCuldeesSocietyDesc];;;;;;;;x
monastic_order_culdees_real;The Culdean Order;;;;;;;;x
monastic_order_culdees_desc_real;The Culdees are a diverse grouping of monastic and hermit communities, concentrated particularly in Celtic Britain but spread across Western Europe by the many missionaries it produced. Culdean establishments are more familial and decentralized than their Roman counterparts and are well integrated with the secular community, being particularly open to laymen.;;;;;;;;x
monastic_order_culdees_random;Companions of [catholic.GetHighGodName];;;;;;;;x
monastic_order_culdees_desc_random;The Companions are a diverse grouping of monastic and hermit communities, concentrated particularly in [celtic.GetGroupName] communities but spread widely by the many missionaries it produced. Companion establishments are more familial and decentralized than their [imperiale.GetGroupName] counterparts and are well integrated with the secular community, being particularly open to laymen.;;;;;;;;x
monastic_order_culdees_leader_desc;The Conversus of the Culdean Order.;;;;;;;;x
currency_name_monastic_order_culdees;Devotion;;;;;;;;x
monastic_order_culdees_rank_1_female;Donatus;;;;;;;;;x
monastic_order_culdees_rank_2_female;Oblatus;;;;;;;;;x
monastic_order_culdees_rank_3_female;Commissus;;;;;;;;;x
monastic_order_culdees_rank_4_female;Conversus;;;;;;;;;x
monastic_order_culdees_rank_1_male;Donatus;;;;;;;;;x
monastic_order_culdees_rank_2_male;Oblatus;;;;;;;;;x
monastic_order_culdees_rank_3_male;Commissus;;;;;;;;;x
monastic_order_culdees_rank_4_male;Conversus;;;;;;;;;x
monastic_order_arian;[GetArianSocietyName];;;;;;;;x
monastic_order_arian_desc;[GetArianSocietyDesc];;;;;;;;x
monastic_order_arian_real;The Community of Saint Lucian;;;;;;;;x
monastic_order_arian_desc_real;The Community of Saint Lucian is dedicated to a life of piety, personal morality, and ascetism. Members spend their time in scholarship and prayer, and are above all resolutely steadfast in their beliefs and faith, seeking to follow the holy example of Saint Lucian as well as the great teacher Arius.;;;;;;;;x
monastic_order_arian_random;The Ascetics;;;;;;;;x
monastic_order_arian_desc_random;The Ascetics are dedicated to a life of piety, personal morality, and ascetism. Members spend their time in scholarship and prayer, and are above all resolutely steadfast in their beliefs and faith, seeking to follow the holy example of the great teachers before them.;;;;;;;;x
monastic_order_arian_leader_desc;The Conversus of the Community of Saint Lucian.;;;;;;;;x
currency_name_monastic_order_arian;Devotion;;;;;;;;x
monastic_order_arian_rank_1_female;Donatus;;;;;;;;;x
monastic_order_arian_rank_2_female;Oblatus;;;;;;;;;x
monastic_order_arian_rank_3_female;Commissus;;;;;;;;;x
monastic_order_arian_rank_4_female;Conversus;;;;;;;;;x
monastic_order_arian_rank_1_male;Donatus;;;;;;;;;x
monastic_order_arian_rank_2_male;Oblatus;;;;;;;;;x
monastic_order_arian_rank_3_male;Commissus;;;;;;;;;x
monastic_order_arian_rank_4_male;Conversus;;;;;;;;;x
monastic_order_manichean;[GetManicheanSocietyName];;;;;;;;x
monastic_order_manichean_desc;[GetManicheanSocietyDesc];;;;;;;;;x
monastic_order_manichean_real;The Brotherhood of the Light;;;;;;;;x
monastic_order_manichean_desc_real;The monks of the Brotherhood of the Light live by the laws of Mani set down many centuries ago. They dedicate their lives to fasting and praying as well as writing, singing, and spreading the faith, liberating the light from their bodies and keeping the eternal struggle between the forces of light and dark.;;;;;;;;x
monastic_order_manichean_random;The Illuminated Ones;;;;;;;;x
monastic_order_manichean_desc_random;The monks of the Illuminated Ones live by the laws of [manichean.GetHighGodName] set down many centuries ago. They dedicate their lives to fasting and praying as well as writing, singing, and spreading the faith, liberating the light from their bodies and keeping the eternal struggle between the forces of light and dark.;;;;;;;;x
monastic_order_manichean_leader_desc_random;The Conversus of the Brotherhood of the Light.;;;;;;;;x
currency_name_monastic_order_manichean;Devotion;;;;;;;;x
monastic_order_manichean_rank_1_female;Donatus;;;;;;;;;x
monastic_order_manichean_rank_2_female;Oblatus;;;;;;;;;x
monastic_order_manichean_rank_3_female;Commissus;;;;;;;;;x
monastic_order_manichean_rank_4_female;Conversus;;;;;;;;;x
monastic_order_manichean_rank_1_male;Donatus;;;;;;;;;x
monastic_order_manichean_rank_2_male;Oblatus;;;;;;;;;x
monastic_order_manichean_rank_3_male;Commissus;;;;;;;;;x
monastic_order_manichean_rank_4_male;Conversus;;;;;;;;;x
secret_religious_society_pelagian;the Holy Faithful;;;;;;;;;;;;;x
secret_religious_society_priscillian;the Priscillian Faithful;;;;;;;;;;;;;x
secret_religious_society_arian;Devouted of the Father;;;;;;;;;;;;;x
secret_religious_society_gnostic;the Gnostic Faithful;;;;;;;;;;;;;x
secret_religious_society_pict_pagan;the Children of Cailleach;;;;;;;;;;;;;x
secret_religious_society_gael_pagan;The Daghda's Chosen;;;;;;;;;;;;;x
secret_religious_society_germanic_pagan;the Keepers of Wodan;;;;;;;;;;;;;x
secret_religious_society_frankish_pagan;the Children of the Allfadir;;;;;;;;;;;;;x
secret_religious_society_suebic_pagan;the Suebic Faithful;;;;;;;;;;;;;x
secret_religious_society_gothic_pagan;the Gothic Faithful;;;;;;;;;;;;;x
secret_religious_society_alan_pagan;Agin's Blessed;;;;;;;;;;;;;x
secret_religious_society_vasconic_pagan;the Vasconic Faithful;;;;;;;;;;;;;x
secret_religious_society_roman_pagan;the True Hellenes;;;;;;;;x
secret_religious_society_pict_pagan_reformed;the Chosen of Cailleach;;;;;;;;;;;;;x
secret_religious_society_gael_pagan_reformed;The Daghda's Chosen;;;;;;;;;;;;;x
secret_religious_society_germanic_pagan_reformed;the Keepers of Wodan;;;;;;;;;;;;;x
secret_religious_society_frankish_pagan_reformed;the Children of the Allfadir;;;;;;;;;;;;;x
secret_religious_society_suebic_pagan_reformed;the Suebic Faithful;;;;;;;;;;;;;x
secret_religious_society_gothic_pagan_reformed;the Gothic Faithful;;;;;;;;;;;;;x
secret_religious_society_alan_pagan_reformed;Agin's Blessed;;;;;;;;;;;;;x
secret_religious_society_vasconic_pagan_reformed;the Vasconic Faithful;;;;;;;;;;;;;x
secret_religious_society_roman_pagan_reformed;the True Hellenes;;;;;;;;;;;;;x
secret_religious_society_sol_invictus;the Unconquered;;;;;;;;;;;;;x
secret_religious_society_pelagian_desc;The Pelagians know that the Lord gave humans the strength and the will to resist temptation and achieve salvation with the divine grace inherited all the way from Adam. So even as temptation abounds for these persecuted Christians to abandon their face and accept their temptation, they hold fast, content in the knowledge that in their hearts, they themselves have the power and the will to go on, until all the people in the world learn Jesus's example and live their holy, sinless life.;;;;;;;;;;;;;x
secret_religious_society_priscillian_desc;Ever since its humble roots, Christians have marked themselves by their refusal to abandon their faith in the face of persecution. So it is that a rich tradition of martyrs and underground parishes can give hope to groups of believers in even the darkest of times, no matter what they are outwardly forced to profess. To each other they can profess their true faith in God, and their God is love.;;;;;;;;;;;;;x
secret_religious_society_arian_desc;Arians are no stranger to persecution - first at the hands of the godless pagans, followed by aggressions of the heretical Homoousians, denying the truth of the holy creation of our Lord and Savior, Jesus Christ. The true Christians hold fast to their faith and push on in the spirit of the martyrs before them, and know that soon the truth of the Son and the Father will be apparent to all.;;;;;;;;;;;;;x
secret_religious_society_gnostic_desc;Ever since its humble roots, Christians have marked themselves by their refusal to abandon their faith in the face of persecution. So it is that a rich tradition of martyrs and underground parishes can give hope to groups of believers in even the darkest of times, no matter what they are outwardly forced to profess. To each other they can profess their true faith in God, and their God is love.;;;;;;;;;;;;;x
secret_religious_society_pict_pagan_desc;The secret pagans of the north are adept at hiding their faith from the worshippers of the dead god on the cross, pretending to exorcise the 'demons' while actually providing sacrifices to what they know are really the sacred places of the nature spirits all around them. They know that, in time, the Queen of Winter and the mother of all will restore the true faithful to their rightful place.;;;;;;;;;;;;;x
secret_religious_society_gael_pagan_desc;In the sacred groves of the forest and atop the sídhes of the countryside, the secret worshippers of the true gods continue the sacred rituals that have been carried out since time immemorial. They give their offerings to the nature spirits and the aes sídhe, waiting for the day when the Daghda will grant the faithful victory once more.;;;;;;;;;;;;;x
secret_religious_society_germanic_pagan_desc;By day they profess their faith in name though not in heart, while by night they hold vigil to their ancestors and make sacrifices to Wodan, Thunor, and the other gods that rule this world. They hold their faith to the spirits and magic that permeate this world, patiently awaiting the day when the sacred groves can be restored and the ése are openly honoured once more.;;;;;;;;;;;;;x
