HINT_TECH_VIEW_TEXT_2;All Rulers above the rank of Lord accumulate Technology Points in each of the three groups based on their Attributes.\nThese points can then be spent to increase the technological level in their capital.\nTechnology can also spread to neighbouring provinces, between demesne provinces or in Trade Zones.;;;;;;;;;;;;x
PROVINCE_TECHNOLOGY;Local Cultural Development;;;;;;;;;;;;;x
TECH_BOWS;Archery;;;;;;;;;;;;;x
TECH_BOWS_DESC;Improved bows and crossbows;;;;;;;;;;;;;x
TECH_LIGHT_ARMOUR;Light Armour;;;;;;;;;;;;;x
TECH_LIGHT_ARMOUR_DESC;Improved leather armour for light troops and archers.;;;;;;;;;;;;;x
TECH_HEAVY_ARMOUR;Heavy Armour;;;;;;;;;;;;;x
TECH_HEAVY_ARMOUR_DESC;Improved armour for warriors and cavalrymen.;;;;;;;;;;;;;x
TECH_INFANTRY_MELEE_WEAPONS;Infantry Weapons;;;;;;;;;;;;;x
TECH_INFANTRY_MELEE_WEAPONS_DESC;Better forged weapons for spearmen and warriors.;;;;;;;;;;;;;x
TECH_CAVALRY_MELEE_WEAPONS;Cavalry Weapons;;;;;;;;;;;;;x
TECH_CAVALRY_MELEE_WEAPONS_DESC;Better forged weapons for light horsemen and cavalry.;;;;;;;;;;;;;x
TECH_SIEGE_EQUIPMENT;Siege Tactics;;;;;;;;;;;;;x
TECH_SIEGE_EQUIPMENT_DESC;Improved siege tactics and equipment.;;;;;;;;;;;;;x
TECH_TACTICS;Warfare Tactics;;;;;;;;;;;;;x
TECH_TACTICS_DESC;Advanced military tactics result in increased morale and battles won with fewer losses.;;;;;;;;;;;;;x
TECH_CASTLE_TAXES;Farming Practices;;;;;;;;;;;;;x
TECH_CASTLE_TAXES_DESC;Improved agricultural methods result in greater income from rural castle holdings.;;;;;;;;;;;;;x
TECH_CITY_TAXES;Trade Practices;;;;;;;;;;;;;x
TECH_CITY_TAXES_DESC;Improved trading practices result in greater tax income from towns and cities.;;;;;;;;;;;;;x
TECH_TEMPLE_TAXES;Religious Taxes;;;;;;;;;;;;;x
TECH_TEMPLE_TAXES_DESC;Investigate new ways to wring your dues from the local priests.;;;;;;;;;;;;;x
TECH_CASTLE_CONSTRUCTION;Military Infrastructure;;;;;;;;;;;;;x
TECH_CASTLE_CONSTRUCTION_DESC;Advanced buildings and structures for castle holdings.;;;;;;;;;;;;;x
TECH_CITY_CONSTRUCTION;Civil Infrastructure;;;;;;;;;;;;;x
TECH_CITY_CONSTRUCTION_DESC;Advanced buildings and structures for town and temple holdings.;;;;;;;;;;;;;x
#TECH_TEMPLE_CONSTRUCTION;Religious Infrastructure;;;;;;;;;;;;;x
