poor_warrior;Poor Fighter;;;;;;;;;;;;;x
trained_warrior;Trained Fighter;;;;;;;;;;;;;x
skilled_warrior;Skilled Fighter;;;;;;;;;;;;;x
master_warrior;Formidable Fighter;;;;;;;;;;;;;x
poor_warrior_desc;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;;;;;;;;;;;;;x
trained_warrior_desc;This character has received training in the art of combat. While no master, they can hold their own in a fight.;;;;;;;;;;;;;x
skilled_warrior_desc;This character possesses a certain talent for battle and swordfights.;;;;;;;;;;;;;x
master_warrior_desc;This character is one of the greatest warriors in the known world, favored by the gods and dreaded on the battlefield.;;;;;;;;;;;;;x
EVTDESC550100;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;;;;;;;;;;;;;x
EVTOPTA550100;I will become a great warrior!;;;;;;;;;;;;;x
EVTDESC550101;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;;;;;;;;;;;;;x
EVTDESC550103;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;;;;;;;;;;;;;x
EVTDESC550105;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;;;;;;;;;;;;;x
EVTDESC550106;I have accidently injured my son in training!;;;;;;;;;;;;;x
EVTDESC550107;My father accidently injured me in training!;;;;;;;;;;;;;x
EVTDESC550110;By forcing my son to fight, I made him a better man!;;;;;;;;;;;;;x
EVTDESC550111;My father forced me to train with him... I didn't want to, but I did learn something. Luckily I didn't get hurt!;;;;;;;;;;;;;x
force_train_son_1;Force [This.GetBestName] to train.;;;;;;;;;;;;;x
force_train_son_2;Force [This.GetBestName] to train.;;;;;;;;;;;;;x
force_train_son_3;Force [This.GetBestName] to train.;;;;;;;;;;;;;x
force_train_son_4;Force [This.GetBestName] to train.;;;;;;;;;;;;;x
force_train_son_1_desc;Force [This.GetBestName] to learn how to fight, by teaching him yourself.;;;;;;;;;;;;;x
force_train_son_2_desc;Force [This.GetBestName] to keep learning how to fight, by teaching him yourself.;;;;;;;;;;;;;x
force_train_son_3_desc;Force [This.GetBestName] to keep learning how to fight, by teaching him yourself.;;;;;;;;;;;;;x
force_train_son_4_desc;Force [This.GetBestName] to keep learning how to fight, by teaching him yourself.;;;;;;;;;;;;;x
EVTDESC550112;The sword in my hand seems heavier and heavier every year...;;;;;;;;;;;;;x
EVTOPTA550112;'...tempus fugit...';;;;;;;;;;;;;x
